s14_selected_carrier,shipment_count,total_cost,avg_cost,avg_weight,forced_count
FEDEX,266062,3557048.6843048614,13.36924733447415,4.484953065590012,120915
P2P_US,190037,872462.4699999698,4.591013697332466,2.6073445631410666,0
P2P_US2,83818,515168.6900000091,6.14627752988629,1.5581328313339393,0
