carrier,shipment_count,share_pct,total_cost,avg_cost
FedEx,273941,49.09222544994471,3023125.640000064,11.035681551867242
OnTrac,137764,24.688313713121378,1736637.9228256717,12.605890674092446
USPS,106151,19.023033513556136,833188.2099999783,7.849084888507676
DHL (unmapped),40157,7.19642732337777,240942.0,6.0
