production_site,shipment_count,share_pct,total_cost,avg_cost
Phoenix,269095,48.20676806219881,3406964.063545336,12.660822622290775
Miami,129396,23.180523458913314,1509974.4669468394,11.669406063145997
Columbus,119561,21.418641729814944,1231706.1612480371,10.30190581584327
Szczecin,1,0.00017914404973038821,9.030000000000001,9.030000000000001
