month,DHL (unmapped)_pct,FedEx_pct,OnTrac_pct,USPS_pct,DHL (unmapped)_avg,FedEx_avg,OnTrac_avg,USPS_avg,total_shipments,total_cost,avg_cost
2025-01,16.433740388964267,83.56625961103573,0.0,0.0,6.0,12.909951262469157,0.0,0.0,44220,520663.42900203186,11.774387810991222
2025-02,12.991263688938107,87.0087363110619,0.0,0.0,6.0,12.040856882605143,0.0,0.0,40635,457390.53594139765,11.256073235914794
2025-03,16.41731190424777,83.58268809575223,0.0,0.0,6.0,12.410724371605264,0.0,0.0,32417,368200.5768486444,11.358255756197194
2025-04,14.961384674371475,85.03861532562853,0.0,0.0,6.0,12.232657090476778,0.0,0.0,36514,412614.2353164053,11.300165287736355
2025-05,12.80678740690589,87.1932125930941,0.0,0.0,6.0,12.044208448139377,0.0,0.0,47264,532671.8743562795,11.270139521756082
2025-06,15.326646642351427,84.67335335764858,0.0,0.0,6.0,12.362571179213695,0.0,0.0,37288,424613.4598413126,11.387402377207483
2025-07,11.931524918277226,73.27808682686242,14.027642369673682,0.7627458851866721,6.0,12.109277198359164,13.375591336723229,8.174812030075188,34874,402026.4716233206,11.52797131454151
2025-08,2.715907021909328,45.15081628937306,35.91976694786672,16.213509740850885,6.0,12.51708497772122,11.38883224686363,9.231798615010264,32954,375746.8146896459,11.402161033247737
2025-09,0.006696578048617156,12.36523136677158,50.30134601218778,37.32672604299203,6.0,16.030972533300893,12.697220678072302,8.064888769285941,29866,339872.10781216505,11.37990048256094
2025-10,0.0,16.293929712460063,40.13496772510921,43.571102562430724,0.0,15.808157834286975,14.313729408796737,7.821694725028044,30674,359762.44560746424,11.728579435595757
2025-11,0.0,16.63392620122113,50.08052384744713,33.28554995133174,0.0,14.9779304302408,13.284289611393795,7.982552105486982,56505,666832.2355370732,11.8012960894978
2025-12,0.0,5.013452607406646,48.51592891539424,46.47061847719912,0.0,21.53656995480527,11.929001784585903,7.563983110225875,116706,1211667.5408506226,10.382221486904037
