carrier,serviceable_count,total_cost,avg_cost,coverage_pct
OnTrac,360348,4003075.634141375,11.10891592055839,64.55420003224593
USPS,558210,14855381.209999999,26.612531502481144,100.0
FedEx,558210,7008926.5200000005,12.556074810555168,100.0
P2P,289429,3103799.1999999997,10.723870793873454,51.84948316941653
Maersk,558210,6047014.02,10.832865803192346,100.0
