weight_bracket,shipment_count,share_pct,total_cost,avg_cost
0-1 lbs,106094,19.006108812095807,753284.2661206158,7.100158973369048
1-5 lbs,294429,52.74520341806846,3007944.634015905,10.216196889626719
5-10 lbs,87915,15.749449132047081,1626825.1784557283,18.504523442594873
10-20 lbs,24028,4.304473226921768,595388.3315667321,24.77893838716215
20-30 lbs,3677,0.6587126708586374,100023.68388119931,27.20252485210751
30+ lbs,1910,0.3421651349850415,65187.62770000002,34.129648010471215
