weight_lbs_lower,weight_lbs_upper,zone,rate
8.0,9.0,6,9.79
8.0,9.0,7,9.79
8.0,9.0,8,9.83
9.0,10.0,1,6.28
9.0,10.0,2,6.28
9.0,10.0,3,8.29
9.0,10.0,4,9.38
9.0,10.0,5,10.04
9.0,10.0,6,10.33
9.0,10.0,7,10.38
9.0,10.0,8,10.44
10.0,11.0,1,7.66
10.0,11.0,2,7.66
10.0,11.0,3,9.99
10.0,11.0,4,11.14
10.0,11.0,5,12.13
10.0,11.0,6,12.59
10.0,11.0,7,12.59
10.0,11.0,8,13.0
11.0,12.0,1,7.81
11.0,12.0,2,7.81
11.0,12.0,3,10.3
11.0,12.0,4,11.56
11.0,12.0,5,12.54
11.0,12.0,6,13.06
11.0,12.0,7,13.11
11.0,12.0,8,13.32
12.0,13.0,1,7.89
12.0,13.0,2,7.89
12.0,13.0,3,10.51
12.0,13.0,4,11.86
12.0,13.0,5,12.92
12.0,13.0,6,14.02
12.0,13.0,7,14.1
12.0,13.0,8,14.16
13.0,14.0,1,8.0
13.0,14.0,2,8.0
13.0,14.0,3,10.8
13.0,14.0,4,12.28
13.0,14.0,5,13.33
13.0,14.0,6,14.36
13.0,14.0,7,14.53
13.0,14.0,8,14.64
14.0,15.0,1,8.13
14.0,15.0,2,8.13
14.0,15.0,3,11.18
14.0,15.0,4,12.73
14.0,15.0,5,13.73
14.0,15.0,6,14.52
14.0,15.0,7,14.72
14.0,15.0,8,14.74
15.0,16.0,1,9.17
15.0,16.0,2,9.17
15.0,16.0,3,14.38
15.0,16.0,4,16.33
15.0,16.0,5,17.5
15.0,16.0,6,18.81
15.0,16.0,7,18.92
15.0,16.0,8,19.17
16.0,17.0,1,9.22
16.0,17.0,2,9.22
16.0,17.0,3,14.56
16.0,17.0,4,16.57
16.0,17.0,5,17.81
16.0,17.0,6,19.17
16.0,17.0,7,19.39
16.0,17.0,8,19.56
17.0,18.0,1,9.36
17.0,18.0,2,9.36
17.0,18.0,3,14.91
17.0,18.0,4,17.0
17.0,18.0,5,18.28
17.0,18.0,6,19.61
17.0,18.0,7,19.91
17.0,18.0,8,20.01
18.0,19.0,1,9.5
18.0,19.0,2,9.5
18.0,19.0,3,15.29
18.0,19.0,4,17.47
18.0,19.0,5,18.78
18.0,19.0,6,20.07
18.0,19.0,7,20.41
18.0,19.0,8,20.46
19.0,20.0,1,10.51
19.0,20.0,2,10.51
19.0,20.0,3,16.33
19.0,20.0,4,18.78
19.0,20.0,5,19.67
19.0,20.0,6,21.28
19.0,20.0,7,22.3
19.0,20.0,8,22.4
20.0,21.0,1,10.96
20.0,21.0,2,10.96
20.0,21.0,3,16.93
20.0,21.0,4,19.06
20.0,21.0,5,20.5
20.0,21.0,6,21.97
20.0,21.0,7,24.11
20.0,21.0,8,25.87
21.0,22.0,1,11.04
21.0,22.0,2,11.04
21.0,22.0,3,17.13
21.0,22.0,4,19.3
21.0,22.0,5,20.81
21.0,22.0,6,22.19
21.0,22.0,7,24.78
21.0,22.0,8,26.31
22.0,23.0,1,11.14
22.0,23.0,2,11.14
22.0,23.0,3,17.38
22.0,23.0,4,19.6
22.0,23.0,5,21.17
22.0,23.0,6,22.49
22.0,23.0,7,25.27
22.0,23.0,8,26.77
23.0,24.0,1,11.21
23.0,24.0,2,11.21
23.0,24.0,3,17.56
23.0,24.0,4,19.84
23.0,24.0,5,21.49
23.0,24.0,6,22.71
23.0,24.0,7,25.71
23.0,24.0,8,27.2
24.0,25.0,1,11.3
24.0,25.0,2,11.3
24.0,25.0,3,17.77
24.0,25.0,4,20.13
24.0,25.0,5,21.81
24.0,25.0,6,22.97
24.0,25.0,7,26.18
24.0,25.0,8,27.66
25.0,26.0,1,25.79
25.0,26.0,2,25.79
25.0,26.0,3,31.72
25.0,26.0,4,36.22
25.0,26.0,5,46.0
25.0,26.0,6,56.91
25.0,26.0,7,61.3
25.0,26.0,8,66.31
26.0,27.0,1,26.2
26.0,27.0,2,26.2
26.0,27.0,3,32.2
26.0,27.0,4,36.74
26.0,27.0,5,46.57
26.0,27.0,6,57.58
26.0,27.0,7,61.98
26.0,27.0,8,67.44
27.0,28.0,1,26.63
27.0,28.0,2,26.63
27.0,28.0,3,32.71
27.0,28.0,4,37.28
27.0,28.0,5,47.81
27.0,28.0,6,58.26
27.0,28.0,7,62.67
27.0,28.0,8,68.54
28.0,29.0,1,27.06
28.0,29.0,2,27.06
28.0,29.0,3,33.2
28.0,29.0,4,37.82
28.0,29.0,5,48.39
28.0,29.0,6,58.92
28.0,29.0,7,63.34
28.0,29.0,8,69.64
29.0,30.0,1,27.5
29.0,30.0,2,27.5
29.0,30.0,3,33.69
29.0,30.0,4,38.36
29.0,30.0,5,48.96
29.0,30.0,6,59.6
29.0,30.0,7,64.06
29.0,30.0,8,70.78
