weight_lbs_lower,weight_lbs_upper,zone,rate
7.0,8.0,6,4.93
7.0,8.0,7,5.24
7.0,8.0,8,5.4
8.0,9.0,1,4.69
8.0,9.0,2,4.69
8.0,9.0,3,4.71
8.0,9.0,4,4.79
8.0,9.0,5,4.87
8.0,9.0,6,5.02
8.0,9.0,7,5.34
8.0,9.0,8,5.5
9.0,10.0,1,4.78
9.0,10.0,2,4.78
9.0,10.0,3,4.79
9.0,10.0,4,4.88
9.0,10.0,5,4.96
9.0,10.0,6,5.11
9.0,10.0,7,5.43
9.0,10.0,8,5.6
10.0,11.0,1,4.99
10.0,11.0,2,4.99
10.0,11.0,3,5
10.0,11.0,4,5.09
10.0,11.0,5,5.18
10.0,11.0,6,5.34
10.0,11.0,7,5.68
10.0,11.0,8,5.86
11.0,12.0,1,5.2
11.0,12.0,2,5.2
11.0,12.0,3,5.22
11.0,12.0,4,5.31
11.0,12.0,5,5.4
11.0,12.0,6,5.58
11.0,12.0,7,5.93
11.0,12.0,8,6.11
12.0,13.0,1,5.43
12.0,13.0,2,5.43
12.0,13.0,3,5.46
12.0,13.0,4,5.56
12.0,13.0,5,5.64
12.0,13.0,6,5.83
12.0,13.0,7,6.2
12.0,13.0,8,6.39
13.0,14.0,1,5.68
13.0,14.0,2,5.68
13.0,14.0,3,5.7
13.0,14.0,4,5.8
13.0,14.0,5,5.9
13.0,14.0,6,6.09
13.0,14.0,7,6.49
13.0,14.0,8,6.69
14.0,15.0,1,5.93
14.0,15.0,2,5.93
14.0,15.0,3,5.97
14.0,15.0,4,6.07
14.0,15.0,5,6.17
14.0,15.0,6,6.37
14.0,15.0,7,6.78
14.0,15.0,8,6.99
15.0,16.0,1,6.21
15.0,16.0,2,6.21
15.0,16.0,3,6.23
15.0,16.0,4,6.34
15.0,16.0,5,6.44
15.0,16.0,6,6.66
15.0,16.0,7,7.09
15.0,16.0,8,7.31
16.0,17.0,1,6.49
16.0,17.0,2,6.49
16.0,17.0,3,6.51
16.0,17.0,4,6.63
16.0,17.0,5,6.74
16.0,17.0,6,6.97
16.0,17.0,7,7.42
16.0,17.0,8,7.66
17.0,18.0,1,6.79
17.0,18.0,2,6.79
17.0,18.0,3,6.81
17.0,18.0,4,6.93
17.0,18.0,5,7.04
17.0,18.0,6,7.29
17.0,18.0,7,7.77
17.0,18.0,8,8.01
18.0,19.0,1,7.1
18.0,19.0,2,7.1
18.0,19.0,3,7.12
18.0,19.0,4,7.26
18.0,19.0,5,7.38
18.0,19.0,6,7.62
18.0,19.0,7,8.12
18.0,19.0,8,8.38
19.0,20.0,1,7.42
19.0,20.0,2,7.42
19.0,20.0,3,7.46
19.0,20.0,4,7.59
19.0,20.0,5,7.71
19.0,20.0,6,7.98
19.0,20.0,7,8.5
19.0,20.0,8,8.77
20.0,21.0,1,7.63
20.0,21.0,2,7.63
20.0,21.0,3,7.67
20.0,21.0,4,7.8
20.0,21.0,5,7.93
20.0,21.0,6,8.2
20.0,21.0,7,8.73
20.0,21.0,8,9.01
21.0,22.0,1,7.84
21.0,22.0,2,7.84
21.0,22.0,3,7.88
21.0,22.0,4,8.01
21.0,22.0,5,8.16
21.0,22.0,6,8.42
21.0,22.0,7,8.99
21.0,22.0,8,9.27
22.0,23.0,1,8.06
22.0,23.0,2,8.06
22.0,23.0,3,8.09
22.0,23.0,4,8.23
22.0,23.0,5,8.38
22.0,23.0,6,8.67
22.0,23.0,7,9.23
22.0,23.0,8,9.53
23.0,24.0,1,8.29
23.0,24.0,2,8.29
23.0,24.0,3,8.32
23.0,24.0,4,8.47
23.0,24.0,5,8.61
23.0,24.0,6,8.91
23.0,24.0,7,9.5
23.0,24.0,8,9.8
24.0,25.0,1,8.51
24.0,25.0,2,8.51
24.0,25.0,3,8.56
24.0,25.0,4,8.7
24.0,25.0,5,8.86
24.0,25.0,6,9.16
24.0,25.0,7,9.77
24.0,25.0,8,10.08
25.0,26.0,1,8.76
25.0,26.0,2,8.76
25.0,26.0,3,8.79
25.0,26.0,4,8.94
25.0,26.0,5,9.1
25.0,26.0,6,9.41
25.0,26.0,7,10.04
25.0,26.0,8,10.37
26.0,27.0,1,9
26.0,27.0,2,9
26.0,27.0,3,9.04
26.0,27.0,4,9.2
26.0,27.0,5,9.36
26.0,27.0,6,9.68
26.0,27.0,7,10.32
26.0,27.0,8,10.66
27.0,28.0,1,9.26
27.0,28.0,2,9.26
27.0,28.0,3,9.29
27.0,28.0,4,9.46
27.0,28.0,5,9.62
27.0,28.0,6,9.96
27.0,28.0,7,10.62
27.0,28.0,8,10.96
28.0,29.0,1,9.51
28.0,29.0,2,9.51
28.0,29.0,3,9.56
28.0,29.0,4,9.72
28.0,29.0,5,9.9
28.0,29.0,6,10.23
28.0,29.0,7,10.92
28.0,29.0,8,11.27
29.0,30.0,1,9.78
29.0,30.0,2,9.78
29.0,30.0,3,9.82
29.0,30.0,4,10
29.0,30.0,5,10.18
29.0,30.0,6,10.52
29.0,30.0,7,11.23
29.0,30.0,8,11.59
30.0,31.0,1,10.05
30.0,31.0,2,10.05
30.0,31.0,3,10.1
30.0,31.0,4,10.28
30.0,31.0,5,10.46
30.0,31.0,6,10.82
30.0,31.0,7,11.54
30.0,31.0,8,11.92
31.0,32.0,1,10.34
31.0,32.0,2,10.34
31.0,32.0,3,10.38
31.0,32.0,4,10.57
31.0,32.0,5,10.76
31.0,32.0,6,11.13
31.0,32.0,7,11.87
31.0,32.0,8,12.26
32.0,33.0,1,10.63
32.0,33.0,2,10.63
32.0,33.0,3,10.68
32.0,33.0,4,10.87
32.0,33.0,5,11.06
32.0,33.0,6,11.44
32.0,33.0,7,12.21
32.0,33.0,8,12.61
33.0,34.0,1,10.93
33.0,34.0,2,10.93
33.0,34.0,3,10.98
33.0,34.0,4,11.18
33.0,34.0,5,11.38
33.0,34.0,6,11.77
33.0,34.0,7,12.56
33.0,34.0,8,12.97
34.0,35.0,1,11.25
34.0,35.0,2,11.25
34.0,35.0,3,11.3
34.0,35.0,4,11.5
34.0,35.0,5,11.7
34.0,35.0,6,12.11
34.0,35.0,7,12.92
34.0,35.0,8,13.34
35.0,36.0,1,11.57
35.0,36.0,2,11.57
35.0,36.0,3,11.62
35.0,36.0,4,11.83
35.0,36.0,5,12.04
35.0,36.0,6,12.45
35.0,36.0,7,13.3
35.0,36.0,8,13.73
36.0,37.0,1,11.9
36.0,37.0,2,11.9
36.0,37.0,3,11.95
36.0,37.0,4,12.16
36.0,37.0,5,12.38
36.0,37.0,6,12.81
36.0,37.0,7,13.68
36.0,37.0,8,14.12
37.0,38.0,1,12.24
37.0,38.0,2,12.24
37.0,38.0,3,12.29
37.0,38.0,4,12.51
37.0,38.0,5,12.73
37.0,38.0,6,13.18
37.0,38.0,7,14.07
37.0,38.0,8,14.53
38.0,39.0,1,12.59
38.0,39.0,2,12.59
38.0,39.0,3,12.64
38.0,39.0,4,12.87
38.0,39.0,5,13.1
38.0,39.0,6,13.56
38.0,39.0,7,14.48
38.0,39.0,8,14.95
39.0,40.0,1,12.95
39.0,40.0,2,12.95
39.0,40.0,3,13.01
39.0,40.0,4,13.24
39.0,40.0,5,13.48
39.0,40.0,6,13.95
39.0,40.0,7,14.89
39.0,40.0,8,15.38
40.0,41.0,1,13.32
40.0,41.0,2,13.32
40.0,41.0,3,13.38
40.0,41.0,4,13.62
40.0,41.0,5,13.86
40.0,41.0,6,14.35
40.0,41.0,7,15.32
40.0,41.0,8,15.82
41.0,42.0,1,13.7
41.0,42.0,2,13.7
41.0,42.0,3,13.76
41.0,42.0,4,14.01
41.0,42.0,5,14.26
41.0,42.0,6,14.76
41.0,42.0,7,15.77
41.0,42.0,8,16.28
42.0,43.0,1,14.1
42.0,43.0,2,14.1
42.0,43.0,3,14.16
42.0,43.0,4,14.42
42.0,43.0,5,14.67
42.0,43.0,6,15.19
42.0,43.0,7,16.22
42.0,43.0,8,16.75
43.0,44.0,1,14.5
43.0,44.0,2,14.5
43.0,44.0,3,14.57
43.0,44.0,4,14.83
43.0,44.0,5,15.1
43.0,44.0,6,15.63
43.0,44.0,7,16.69
43.0,44.0,8,17.24
44.0,45.0,1,14.92
44.0,45.0,2,14.92
44.0,45.0,3,14.99
44.0,45.0,4,15.26
44.0,45.0,5,15.53
44.0,45.0,6,16.08
44.0,45.0,7,17.18
44.0,45.0,8,17.74
45.0,46.0,1,15.35
45.0,46.0,2,15.35
45.0,46.0,3,15.42
45.0,46.0,4,15.7
45.0,46.0,5,15.98
45.0,46.0,6,16.54
45.0,46.0,7,17.68
45.0,46.0,8,18.26
46.0,47.0,1,15.8
46.0,47.0,2,15.8
46.0,47.0,3,15.87
46.0,47.0,4,16.16
46.0,47.0,5,16.45
46.0,47.0,6,17.02
46.0,47.0,7,18.19
46.0,47.0,8,18.79
47.0,48.0,1,16.25
47.0,48.0,2,16.25
47.0,48.0,3,16.33
47.0,48.0,4,16.63
47.0,48.0,5,16.92
47.0,48.0,6,17.52
47.0,48.0,7,18.72
47.0,48.0,8,19.33
48.0,49.0,1,16.72
48.0,49.0,2,16.72
48.0,49.0,3,16.8
48.0,49.0,4,17.11
48.0,49.0,5,17.41
48.0,49.0,6,18.03
48.0,49.0,7,19.26
48.0,49.0,8,19.9
49.0,50.0,1,17.21
49.0,50.0,2,17.21
49.0,50.0,3,17.29
49.0,50.0,4,17.6
49.0,50.0,5,17.92
49.0,50.0,6,18.55
49.0,50.0,7,19.83
49.0,50.0,8,20.48
