zip_code,shipping_state,phx_zone,cmh_zone,das
76002,Texas,5,5,NO
16407,Pennsylvania,8,3,NO
24066,Virginia,8,3,NO
34669,Florida,8,5,DAS
10541,New York,8,4,NO
02902,Rhode Island,8,4,NO
11237,New York,8,4,NO
22405,Virginia,8,4,EDAS
48706,Michigan,7,3,NO
60096,Illinois,7,8,NO
95351,California,4,5,NO
22035,Virginia,8,5,NO
07510,New Jersey,8,4,NO
33145,Florida,8,5,NO
10162,New York,8,5,NO
85254,Arizona,2,8,NO
78633,Texas,5,5,NO
30019,Georgia,7,4,DAS
45373,Ohio,7,2,NO
91605,California,4,5,NO
55376,Minnesota,6,4,NO
17011,Pennsylvania,8,4,NO
08690,New Jersey,8,4,NO
49202,Michigan,7,3,NO
14625,New York,8,4,NO
49301,Michigan,7,3,NO
23075,Virginia,8,4,NO
30294,Georgia,7,4,NO
02740,Massachusetts,8,5,NO
92305,California,3,5,NO
01970,Massachusetts,8,5,NO
07740,New Jersey,8,4,NO
76559,Texas,5,5,NO
49519,Michigan,7,3,NO
43136,Ohio,7,3,NO
13077,New York,8,4,NO
95070,California,4,5,NO
33023,Florida,8,5,NO
38066,Tennessee,7,4,EDAS
01432,Massachusetts,8,5,DAS
15001,Pennsylvania,8,2,NO
93775,California,4,5,NO
91031,California,4,5,NO
89191,Nevada,3,4,EDAS
49348,Michigan,7,3,NO
41230,Kentucky,7,2,DAS
11598,New York,8,4,NO
32258,Florida,7,5,NO
77047,Texas,6,5,NO
92545,California,3,5,NO
33169,Florida,8,5,NO
32080,Florida,7,5,NO
80151,Colorado,4,8,NO
13212,New York,8,4,NO
08861,New Jersey,8,4,NO
93001,California,4,5,EDAS
77356,Texas,6,5,DAS
49016,Michigan,7,4,NO
78207,Texas,5,5,NO
77461,Texas,6,5,DAS
20120,District Of Columbia,8,4,NO
43210,Ohio,7,3,NO
92109,California,3,5,NO
75152,Texas,5,5,NO
06408,Connecticut,8,8,NO
23228,Virginia,8,4,NO
84405,Utah,4,4,NO
44231,Ohio,7,2,NO
33776,Florida,7,5,NO
27408,North Carolina,8,3,EDAS
02171,Massachusetts,8,5,NO
33122,Florida,8,5,NO
07417,New Jersey,8,4,NO
30072,Georgia,7,3,NO
95190,California,4,5,NO
90633,California,4,5,NO
10924,New York,8,4,NO
55155,Minnesota,5,4,NO
11775,New York,8,5,NO
02126,Massachusetts,8,4,NO
89410,Nevada,4,4,EDAS
02045,Massachusetts,8,5,DAS
75028,Texas,5,5,NO
33314,Florida,8,5,NO
97405,Oregon,5,5,EDAS
48504,Michigan,7,3,NO
37160,Tennessee,7,3,DAS
02912,Rhode Island,8,5,NO
21778,Maryland,8,5,EDAS
08032,New Jersey,8,4,NO
44044,Ohio,7,2,NO
80934,Colorado,4,8,NO
95381,California,4,5,NO
48374,Michigan,7,4,NO
93277,California,4,5,NO
07020,New Jersey,8,4,NO
84134,Utah,3,4,NO
46290,Indiana,7,2,NO
97056,Oregon,6,5,DAS
15129,Pennsylvania,8,2,NO
01075,Massachusetts,8,4,NO
94108,California,5,5,NO
33388,Florida,8,5,NO
93662,California,4,5,NO
55424,Minnesota,6,4,NO
33566,Florida,8,5,NO
01060,Massachusetts,8,4,NO
54016,Wisconsin,6,4,NO
60025,Illinois,7,3,NO
13428,New York,8,5,DAS
78719,Texas,5,5,NO
96003,California,5,5,EDAS
43465,Ohio,7,2,NO
80603,Colorado,4,8,NO
22412,Virginia,8,5,NO
91327,California,4,5,NO
46229,Indiana,7,2,NO
18848,Pennsylvania,8,4,DAS
89711,Nevada,3,4,NO
92567,California,3,5,NO
77381,Texas,6,5,NO
84738,Utah,4,4,EDAS
94018,California,5,5,NO
84312,Utah,4,4,EDAS
95003,California,4,5,DAS
02446,Massachusetts,8,5,NO
91941,California,3,5,NO
95418,California,4,5,NO
33404,Florida,8,5,NO
91706,California,4,5,NO
92406,California,4,5,NO
10528,New York,8,4,NO
19492,Pennsylvania,8,4,NO
92711,California,4,5,NO
90087,California,4,5,NO
20872,Maryland,8,4,NO
34953,Florida,8,5,DAS
95926,California,5,5,EDAS
93428,California,4,5,EDAS
97290,Oregon,5,5,NO
37853,Tennessee,7,3,NO
97213,Oregon,6,5,NO
60445,Illinois,6,3,NO
95374,California,4,5,DAS
10701,New York,8,4,NO
85742,Arizona,2,8,NO
02324,Massachusetts,8,5,NO
44105,Ohio,7,2,NO
77060,Texas,6,5,NO
75135,Texas,5,5,DAS
12585,New York,8,5,DAS
20103,District Of Columbia,8,8,NO
60435,Illinois,7,8,NO
48162,Michigan,7,4,NO
62048,Illinois,6,8,DAS
32145,Florida,7,5,DAS
21244,Maryland,8,4,NO
10117,New York,8,5,NO
34207,Florida,8,5,DAS
08062,New Jersey,8,4,NO
27012,North Carolina,8,3,EDAS
12513,New York,8,5,DAS
20130,District Of Columbia,8,8,EDAS
53027,Wisconsin,7,4,DAS
20136,District Of Columbia,8,4,NO
34135,Florida,8,5,NO
98589,Washington,6,5,EDAS
33813,Florida,8,5,NO
37167,Tennessee,7,3,NO
12085,New York,8,5,NO
07022,New Jersey,8,4,NO
30361,Georgia,7,3,NO
33174,Florida,8,5,NO
37862,Tennessee,7,3,DAS
72350,Arkansas,6,8,DAS
60430,Illinois,7,3,NO
48272,Michigan,7,4,NO
94261,California,4,5,NO
80247,Colorado,4,8,NO
76513,Texas,5,5,NO
85381,Arizona,2,8,NO
44308,Ohio,7,3,NO
33706,Florida,7,5,DAS
53095,Wisconsin,7,4,DAS
94206,California,4,5,NO
96035,California,5,5,EDAS
06538,Connecticut,8,8,NO
32835,Florida,8,5,NO
01545,Massachusetts,8,5,NO
93661,California,4,5,EDAS
06615,Connecticut,8,8,NO
78645,Texas,5,5,NO
89706,Nevada,4,4,EDAS
12008,New York,8,5,DAS
91043,California,4,5,NO
17968,Pennsylvania,8,4,EDAS
95991,California,5,5,NO
06483,Connecticut,8,4,DAS
92815,California,4,5,NO
14615,New York,8,4,NO
02458,Massachusetts,8,5,NO
90808,California,4,5,NO
93438,California,4,5,DAS
97306,Oregon,5,5,EDAS
31156,Georgia,7,3,NO
63034,Missouri,6,4,NO
48823,Michigan,7,3,NO
33321,Florida,8,5,NO
07803,New Jersey,8,4,DAS
12518,New York,8,4,NO
47172,Indiana,7,2,NO
89016,Nevada,3,4,NO
78249,Texas,5,5,NO
83644,Idaho,5,8,NO
01843,Massachusetts,8,5,NO
10984,New York,8,5,NO
22205,Virginia,8,4,NO
98115,Washington,6,5,NO
53098,Wisconsin,6,8,DAS
55066,Minnesota,6,4,EDAS
94064,California,4,5,NO
96022,California,5,5,EDAS
22185,Virginia,8,5,NO
32839,Florida,8,5,NO
33759,Florida,8,5,NO
60031,Illinois,7,3,NO
43464,Ohio,7,3,EDAS
37996,Tennessee,7,5,NO
17062,Pennsylvania,8,4,EDAS
92352,California,3,5,NO
84060,Utah,4,4,NO
27295,North Carolina,8,3,EDAS
55384,Minnesota,5,4,DAS
44092,Ohio,7,3,NO
95548,California,4,5,EDAS
08063,New Jersey,8,4,NO
11791,New York,8,4,NO
30364,Georgia,7,3,NO
28027,North Carolina,7,4,NO
92581,California,4,5,NO
11771,New York,8,5,NO
30013,Georgia,7,4,NO
02771,Massachusetts,8,5,NO
15019,Pennsylvania,8,4,DAS
43535,Ohio,7,3,EDAS
91313,California,4,5,NO
02186,Massachusetts,8,5,NO
10993,New York,8,5,NO
97292,Oregon,5,5,NO
21155,Maryland,8,5,DAS
75301,Texas,4,5,NO
11231,New York,8,4,NO
53225,Wisconsin,7,4,NO
07522,New Jersey,8,4,NO
11732,New York,8,5,NO
44266,Ohio,7,2,NO
01053,Massachusetts,8,4,NO
10274,New York,8,5,NO
02054,Massachusetts,8,5,DAS
94945,California,5,5,NO
75125,Texas,5,5,NO
93715,California,4,5,NO
95155,California,4,5,NO
32233,Florida,7,5,NO
92336,California,3,5,NO
93772,California,4,5,NO
33418,Florida,8,5,NO
33415,Florida,8,5,NO
91762,California,4,5,NO
06120,Connecticut,8,4,NO
95524,California,5,5,EDAS
23834,Virginia,8,4,NO
89106,Nevada,3,4,NO
98136,Washington,6,5,NO
13501,New York,8,4,DAS
95776,California,5,5,NO
93599,California,4,5,NO
33004,Florida,8,5,NO
20677,Maryland,8,5,DAS
76115,Texas,5,5,NO
95009,California,4,5,NO
63362,Missouri,6,4,NO
18042,Pennsylvania,8,4,DAS
60429,Illinois,7,8,NO
94283,California,4,5,NO
76118,Texas,5,5,NO
53590,Wisconsin,6,4,NO
60621,Illinois,7,3,NO
46311,Indiana,7,3,NO
07712,New Jersey,8,4,NO
20122,District Of Columbia,8,8,NO
19721,Delaware,8,5,NO
10026,New York,8,4,NO
97540,Oregon,5,5,EDAS
28202,North Carolina,8,4,NO
14883,New York,8,4,DAS
17017,Pennsylvania,8,4,EDAS
41255,Kentucky,7,8,EDAS
78237,Texas,4,5,NO
48084,Michigan,7,4,NO
02452,Massachusetts,8,5,NO
48309,Michigan,7,3,NO
95986,California,4,5,NO
27581,North Carolina,8,4,DAS
12065,New York,8,4,NO
32220,Florida,7,5,NO
33782,Florida,7,5,NO
19453,Pennsylvania,8,4,NO
10306,New York,8,4,DAS
44053,Ohio,7,2,NO
27260,North Carolina,8,3,EDAS
46250,Indiana,7,5,NO
37206,Tennessee,7,3,NO
48324,Michigan,7,4,NO
55075,Minnesota,6,4,NO
15025,Pennsylvania,8,2,NO
49204,Michigan,7,4,NO
30079,Georgia,7,3,NO
19041,Pennsylvania,8,4,NO
91933,California,4,5,NO
90042,California,4,5,NO
98392,Washington,6,5,DAS
16506,Pennsylvania,8,3,NO
12306,New York,8,4,NO
08645,New Jersey,8,4,NO
77372,Texas,6,5,NO
91001,California,4,5,NO
77049,Texas,6,5,NO
95401,California,5,5,NO
08821,New Jersey,8,4,NO
38120,Tennessee,6,4,NO
55344,Minnesota,6,4,NO
11209,New York,8,4,NO
60061,Illinois,7,3,NO
14213,New York,8,3,NO
15137,Pennsylvania,8,2,NO
41160,Kentucky,7,8,DAS
03103,New Hampshire,8,5,NO
07011,New Jersey,8,4,NO
83301,Idaho,5,8,EDAS
40517,Kentucky,7,2,NO
55119,Minnesota,6,4,NO
21911,Maryland,8,4,DAS
53151,Wisconsin,7,4,NO
80246,Colorado,4,8,NO
17339,Pennsylvania,8,4,NO
92607,California,4,5,NO
02081,Massachusetts,8,5,NO
11968,New York,8,4,EDAS
02460,Massachusetts,8,5,NO
08341,New Jersey,8,4,DAS
96069,California,4,5,EDAS
85308,Arizona,2,8,NO
98111,Washington,5,5,NO
48626,Michigan,7,3,DAS
43551,Ohio,7,2,NO
95011,California,4,5,NO
80308,Colorado,4,8,NO
92020,California,3,5,NO
97030,Oregon,6,5,NO
10588,New York,8,5,DAS
15314,Pennsylvania,8,4,DAS
94521,California,5,5,NO
55361,Minnesota,5,4,NO
32773,Florida,8,5,NO
94280,California,4,5,NO
91310,California,4,5,DAS
22204,Virginia,8,4,NO
11219,New York,8,4,NO
03825,New Hampshire,8,5,DAS
84112,Utah,4,4,NO
33716,Florida,7,5,NO
37764,Tennessee,7,3,NO
32250,Florida,7,5,NO
93510,California,4,5,EDAS
80261,Colorado,4,8,NO
38114,Tennessee,7,4,NO
11758,New York,8,4,NO
53018,Wisconsin,7,4,NO
43212,Ohio,7,2,NO
86004,Arizona,2,8,EDAS
07762,New Jersey,8,4,DAS
10041,New York,8,5,EDAS
92231,California,3,5,EDAS
11558,New York,8,4,NO
95951,California,4,5,DAS
24018,Virginia,8,3,NO
21206,Maryland,8,4,NO
60112,Illinois,7,8,DAS
63116,Missouri,6,4,NO
91749,California,4,5,NO
10803,New York,8,5,NO
99005,Washington,6,5,NO
60622,Illinois,7,3,NO
02882,Rhode Island,8,5,NO
44255,Ohio,7,2,NO
27302,North Carolina,8,3,NO
15112,Pennsylvania,8,4,NO
97003,Oregon,6,5,NO
07980,New Jersey,8,4,DAS
03102,New Hampshire,8,5,NO
95007,California,4,5,NO
80260,Colorado,4,8,NO
77423,Texas,6,5,DAS
60452,Illinois,6,3,NO
92609,California,4,5,NO
93206,California,4,5,EDAS
43065,Ohio,7,2,NO
95532,California,4,5,NO
06801,Connecticut,8,4,DAS
91701,California,4,5,NO
44141,Ohio,7,2,NO
06858,Connecticut,8,8,NO
60624,Illinois,7,8,NO
45230,Ohio,7,2,NO
02719,Massachusetts,8,5,NO
37069,Tennessee,7,3,NO
97543,Oregon,5,5,EDAS
93150,California,4,5,NO
93921,California,4,5,NO
92138,California,4,5,NO
93444,California,4,5,NO
41226,Kentucky,7,8,EDAS
98642,Washington,6,5,NO
75217,Texas,5,5,NO
92310,California,3,5,EDAS
01040,Massachusetts,8,4,NO
46320,Indiana,7,5,NO
32803,Florida,8,5,NO
92518,California,5,5,NO
08831,New Jersey,8,4,NO
94552,California,5,5,NO
07105,New Jersey,8,4,NO
53177,Wisconsin,7,8,NO
33445,Florida,8,5,NO
84720,Utah,4,4,EDAS
21010,Maryland,8,5,DAS
27559,North Carolina,8,4,EDAS
94808,California,4,5,NO
07511,New Jersey,8,4,NO
80021,Colorado,4,8,NO
90409,California,4,5,NO
48722,Michigan,7,3,NO
37135,Tennessee,7,3,NO
19343,Pennsylvania,8,4,NO
41012,Kentucky,7,8,NO
08110,New Jersey,8,4,NO
45414,Ohio,7,2,NO
07026,New Jersey,8,4,NO
30102,Georgia,7,4,NO
97219,Oregon,6,5,NO
23059,Virginia,8,4,NO
06237,Connecticut,8,8,DAS
38672,Mississippi,6,4,NO
30326,Georgia,7,4,NO
22645,Virginia,8,3,DAS
91024,California,4,5,NO
95811,California,5,5,NO
45147,Ohio,7,3,NO
48003,Michigan,7,4,NO
93199,California,4,5,NO
02176,Massachusetts,8,5,NO
77059,Texas,6,5,DAS
08853,New Jersey,8,4,DAS
85306,Arizona,2,8,NO
16415,Pennsylvania,8,3,NO
10921,New York,8,4,NO
28285,North Carolina,8,4,NO
41472,Kentucky,7,2,EDAS
94914,California,4,5,NO
33841,Florida,8,5,EDAS
34205,Florida,8,5,NO
53219,Wisconsin,7,4,NO
12428,New York,8,5,EDAS
40258,Kentucky,7,2,NO
11023,New York,8,5,NO
53218,Wisconsin,7,4,NO
10601,New York,8,4,NO
91710,California,4,5,NO
33191,Florida,8,5,NO
60041,Illinois,7,3,NO
10709,New York,8,4,NO
96020,California,5,5,EDAS
97242,Oregon,5,5,NO
45238,Ohio,7,2,NO
01854,Massachusetts,8,5,NO
90842,California,4,5,NO
95451,California,5,5,EDAS
63120,Missouri,6,5,NO
22033,Virginia,8,4,NO
43566,Ohio,7,2,NO
28086,North Carolina,8,4,NO
03857,New Hampshire,8,5,NO
33955,Florida,8,5,NO
08846,New Jersey,8,4,NO
18942,Pennsylvania,8,4,DAS
45419,Ohio,7,2,NO
60563,Illinois,7,3,NO
07825,New Jersey,8,4,EDAS
37090,Tennessee,7,3,NO
53217,Wisconsin,7,4,NO
55304,Minnesota,6,4,NO
95154,California,4,5,NO
55104,Minnesota,6,4,NO
07047,New Jersey,8,4,NO
93616,California,4,5,NO
89144,Nevada,3,4,NO
60604,Illinois,6,3,NO
84404,Utah,4,4,EDAS
23298,Virginia,8,5,NO
90240,California,4,5,NO
23227,Virginia,8,4,NO
90080,California,4,5,NO
44121,Ohio,7,2,NO
93652,California,4,5,NO
44853,Ohio,7,3,EDAS
20104,District Of Columbia,8,8,NO
40511,Kentucky,7,2,NO
94915,California,4,5,NO
12553,New York,8,4,NO
75150,Texas,5,5,NO
12754,New York,8,5,DAS
