weight_lbs,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7,zone_8,zone_9,zone_17
83,45.95,51.91,59.12,68.98,82.43,98.07,101.7,350.81,350.81
84,47.78,53.97,60.84,69.65,84.46,99.24,102.48,354.86,354.86
85,49.06,53.98,60.88,70.77,84.97,100.31,103.59,358.99,358.99
86,50.85,56.97,63.26,72.1,86.79,103.14,106.76,362.76,362.76
87,51.9,57.0,63.27,72.11,87.93,103.22,106.93,366.85,366.85
88,54.05,58.27,65.26,74.44,88.25,103.33,108.11,370.9,370.9
89,56.47,59.9,66.54,74.68,90.17,104.39,110.37,374.78,374.78
90,59.92,62.49,69.42,76.87,91.45,106.81,112.55,378.56,378.56
91,59.93,62.5,69.43,76.88,91.46,106.82,112.56,382.61,382.61
92,61.27,63.09,69.8,77.62,92.58,106.84,112.89,386.26,386.26
93,62.06,63.69,71.12,77.63,92.59,106.85,112.9,390.02,390.02
94,62.38,65.37,71.47,78.63,94.55,106.87,115.14,393.7,393.7
95,63.23,65.96,71.95,79.7,94.83,107.24,116.38,397.53,397.53
96,65.25,66.39,74.58,80.58,94.84,107.25,117.53,401.16,401.16
97,67.39,68.99,75.66,81.88,96.88,108.79,119.85,404.99,404.99
98,68.29,69.44,75.67,82.83,97.97,108.8,119.86,408.58,408.58
99,69.23,69.85,77.07,83.88,98.19,109.89,121.07,412.41,412.41
100,70.39,71.03,77.81,84.33,99.26,109.97,121.15,416.24,416.24
101,70.88,71.72,77.83,85.13,100.21,111.01,122.27,416.25,416.25
102,71.56,71.73,78.57,85.14,100.22,111.02,122.28,416.26,416.26
103,72.5,73.51,80.19,85.64,100.47,111.03,122.29,416.27,416.27
104,72.51,73.52,80.39,85.74,100.48,111.04,122.3,416.31,416.31
105,75.1,75.69,82.09,88.34,102.97,113.62,125.31,420.02,420.02
106,75.62,75.7,82.1,88.35,102.98,113.63,125.32,423.91,423.91
107,76.02,76.75,83.2,89.3,102.99,114.48,126.3,427.82,427.82
108,77.1,77.59,84.0,89.31,103.91,114.49,126.32,431.73,431.73
109,79.43,79.45,85.04,91.04,104.81,116.54,128.62,435.42,435.42
110,80.8,81.36,86.84,92.79,107.72,118.72,131.0,439.09,439.09
111,80.81,81.48,88.75,93.69,107.73,119.57,132.55,444.1,444.1
112,81.76,83.16,88.76,93.7,108.58,119.58,132.56,449.11,449.11
113,81.77,83.17,89.74,94.57,108.59,119.59,133.71,453.0,453.0
