s13_selected_carrier,shipment_count,total_cost,avg_cost,avg_weight
P2P_US,239258,1127836.6199999675,4.713893035969403,2.552589918346666
P2P_US2,199433,1475754.770000003,7.3997521473377175,1.9156078623214479
FEDEX,119322,2339074.785362151,19.603047094099587,7.820852461453944
