Weight_lbs,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8
91,59.93,62.50,69.43,76.88,91.46,106.82,112.56
92,61.27,63.09,69.80,77.62,92.58,106.84,112.89
93,62.06,63.69,71.12,77.63,92.59,106.85,112.90
94,62.38,65.37,71.47,78.63,94.55,106.87,115.14
95,63.23,65.96,71.95,79.70,94.83,107.24,116.38
96,65.25,66.39,74.58,80.58,94.84,107.25,117.53
97,67.39,68.99,75.66,81.88,96.88,108.79,119.85
98,68.29,69.44,75.67,82.83,97.97,108.80,119.86
99,69.23,69.85,77.07,83.88,98.19,109.89,121.07
100,70.39,71.03,77.81,84.33,99.26,109.97,121.15
101,70.88,71.72,77.83,85.13,100.21,111.01,122.27
102,71.56,71.73,78.57,85.14,100.22,111.02,122.28
103,72.50,73.51,80.19,85.64,100.47,111.03,122.29
104,72.51,73.52,80.39,85.74,100.48,111.04,122.30
105,75.10,75.69,82.09,88.34,102.97,113.62,125.31
106,75.62,75.70,82.10,88.35,102.98,113.63,125.32
107,76.02,76.75,83.20,89.30,102.99,114.48,126.30
108,77.10,77.59,84.00,89.31,103.91,114.49,126.32
109,79.43,79.45,85.04,91.04,104.81,116.54,128.62
110,80.80,81.36,86.84,92.79,107.72,118.72,131.00
111,80.81,81.48,88.75,93.69,107.73,119.57,132.55
112,81.76,83.16,88.76,93.70,108.58,119.58,132.56
113,81.77,83.17,89.74,94.57,108.59,119.59,133.71
114,82.63,84.95,91.61,96.41,111.47,122.58,135.84
115,85.14,86.23,91.64,97.58,111.49,123.75,135.89
116,85.15,86.24,92.76,97.59,113.12,125.30,138.00
117,85.24,87.07,93.65,98.90,113.13,125.31,138.90
118,86.15,88.09,93.74,99.19,113.96,125.32,141.28
119,88.71,89.90,96.52,100.69,113.97,126.30,141.29
120,91.12,91.19,96.66,101.38,115.96,127.96,141.30
121,91.13,91.21,96.67,101.40,116.70,127.98,141.31
122,91.14,92.96,97.62,102.31,117.61,129.99,143.79
123,91.96,93.05,100.55,105.10,118.53,132.38,145.75
124,91.97,93.97,101.60,105.11,119.31,132.39,145.76
125,92.85,93.98,101.61,105.12,119.32,132.40,145.77
126,94.71,94.90,102.65,105.13,120.03,132.41,150.91
127,94.72,96.54,104.64,107.52,122.76,134.80,150.92
128,95.60,96.55,104.65,107.54,122.77,134.81,151.73
129,97.42,97.79,104.69,108.27,122.78,134.83,153.19
130,97.80,97.82,105.63,108.28,123.67,136.58,156.70
131,98.34,99.35,107.64,110.05,125.49,137.87,157.42
132,99.38,99.39,107.65,110.78,125.50,137.88,157.43
133,100.22,100.49,107.66,110.79,126.15,137.89,157.44
134,102.09,102.21,109.78,112.78,128.33,140.15,157.46
135,102.87,104.23,111.78,114.78,129.91,140.89,158.23
136,103.62,104.24,112.54,115.78,129.92,143.08,159.31
137,103.64,104.49,115.52,116.63,129.93,143.09,159.32
138,105.57,107.15,116.08,117.59,132.59,144.30,163.69
139,107.53,107.54,116.11,117.61,132.61,146.99,163.73
140,108.42,109.26,117.25,119.45,134.03,147.00,163.74
141,108.43,109.27,118.28,119.47,134.04,147.01,165.29
142,109.82,109.83,119.33,121.38,136.04,147.67,165.30
143,109.83,109.84,119.34,121.39,136.05,147.68,165.31
144,112.93,114.45,122.83,125.19,139.67,152.93,171.08
145,112.94,115.60,122.84,125.20,141.75,153.27,171.09
146,112.95,115.61,122.85,125.21,141.76,153.28,171.10
147,114.32,116.75,125.01,126.47,142.78,153.29,172.68
148,114.33,117.44,125.16,126.48,142.79,153.30,172.69
149,114.34,117.45,126.88,128.46,143.26,154.75,174.33
150,114.35,117.46,126.90,130.29,143.27,154.76,174.34
