State/Province, Dest Zip/Postal Code, Service Days, Zone
MA,01479,2,005
MA,01480,2,005
MA,01481,2,005
MA,01482,2,005
MA,01483,2,005
MA,01484,2,005
MA,01485,2,005
MA,01486,2,005
MA,01487,2,005
MA,01488,2,005
MA,01489,2,005
MA,01490,2,005
MA,01491,2,005
MA,01492,2,005
MA,01493,2,005
MA,01494,2,005
MA,01495,2,005
MA,01496,2,005
MA,01497,2,005
MA,01498,2,005
MA,01499,2,005
MA,01500,2,005
MA,01501,2,005
MA,01502,2,005
MA,01503,2,005
MA,01504,2,005
MA,01505,2,005
MA,01506,2,005
MA,01507,2,005
MA,01508,2,005
MA,01509,2,005
MA,01510,2,005
MA,01511,2,005
MA,01512,2,005
MA,01513,2,005
MA,01514,2,005
MA,01515,2,005
MA,01516,2,005
MA,01517,2,005
MA,01518,2,005
MA,01519,2,005
MA,01520,2,005
MA,01521,2,005
MA,01522,2,005
MA,01523,2,005
MA,01524,2,005
MA,01525,2,005
MA,01526,2,005
MA,01527,2,005
MA,01528,2,005
MA,01529,2,005
MA,01530,2,005
MA,01531,2,005
MA,01532,2,005
MA,01533,2,005
MA,01534,2,005
MA,01535,2,005
MA,01536,2,005
MA,01537,2,005
MA,01538,2,005
MA,01539,2,005
MA,01540,2,005
MA,01541,2,005
MA,01542,2,005
MA,01543,2,005
MA,01544,2,005
MA,01545,2,005
MA,01546,2,005
MA,01547,2,005
MA,01548,2,005
MA,01549,2,005
MA,01550,2,005
MA,01551,2,005
MA,01552,2,005
MA,01553,2,005
MA,01554,2,005
MA,01555,2,005
MA,01556,2,005
MA,01557,2,005
MA,01558,2,005
MA,01559,2,005
MA,01560,2,005
MA,01561,2,005
MA,01562,2,005
MA,01563,2,005
MA,01564,2,005
MA,01565,2,005
MA,01566,2,005
MA,01567,2,005
MA,01568,2,005
MA,01569,2,005
MA,01570,2,005
MA,01571,2,005
MA,01572,2,005
MA,01573,2,005
MA,01574,2,005
MA,01575,2,005
MA,01576,2,005
MA,01577,2,005
MA,01578,2,005
MA,01579,2,005
MA,01580,2,005
MA,01581,2,005
MA,01582,2,005
MA,01583,2,005
MA,01584,2,005
MA,01585,2,005
MA,01586,2,005
MA,01587,2,005
MA,01588,2,005
MA,01589,2,005
MA,01590,2,005
MA,01591,2,005
MA,01592,2,005
MA,01593,2,005
MA,01594,2,005
MA,01595,2,005
MA,01596,2,005
MA,01597,2,005
MA,01598,2,005
MA,01599,2,005
MA,01600,2,005
MA,01601,2,005
MA,01602,2,005
MA,01603,2,005
MA,01604,2,005
MA,01605,2,005
MA,01606,2,005
MA,01607,2,005
MA,01608,2,005
MA,01609,2,005
MA,01610,2,005
MA,01611,2,005
MA,01612,2,005
MA,01613,2,005
MA,01614,2,005
MA,01615,2,005
MA,01616,2,005
MA,01617,2,005
MA,01618,2,005
MA,01619,2,005
MA,01620,2,005
MA,01621,2,005
MA,01622,2,005
MA,01623,2,005
MA,01624,2,005
MA,01625,2,005
MA,01626,2,005
MA,01627,2,005
MA,01628,2,005
MA,01629,2,005
MA,01630,2,005
MA,01631,2,005
MA,01632,2,005
MA,01633,2,005
MA,01634,2,005
MA,01635,2,005
MA,01636,2,005
MA,01637,2,005
MA,01638,2,005
MA,01639,2,005
MA,01640,2,005
MA,01641,2,005
MA,01642,2,005
MA,01643,2,005
MA,01644,2,005
MA,01645,2,005
MA,01646,2,005
MA,01647,2,005
MA,01648,2,005
MA,01649,2,005
MA,01650,2,005
MA,01651,2,005
MA,01652,2,005
MA,01653,2,005
MA,01654,2,005
MA,01655,2,005
MA,01656,2,005
MA,01657,2,005
MA,01658,2,005
MA,01659,2,005
MA,01660,2,005
MA,01661,2,005
MA,01662,2,005
MA,01663,2,005
MA,01664,2,005
MA,01665,2,005
MA,01666,2,005
MA,01667,2,005
MA,01668,2,005
MA,01669,2,005
MA,01670,2,005
MA,01671,2,005
MA,01672,2,005
MA,01673,2,005
MA,01674,2,005
MA,01675,2,005
MA,01676,2,005
MA,01677,2,005
MA,01678,2,005
MA,01679,2,005
MA,01680,2,005
MA,01681,2,005
MA,01682,2,005
MA,01683,2,005
MA,01684,2,005
MA,01685,2,005
MA,01686,2,005
MA,01687,2,005
MA,01688,2,005
MA,01689,2,005
MA,01690,2,005
MA,01691,2,005
MA,01692,2,005
MA,01693,2,005
MA,01694,2,005
MA,01695,2,005
MA,01696,2,005
MA,01697,2,005
MA,01698,2,005
MA,01699,2,005
MA,01700,2,005
MA,01701,2,005
MA,01702,2,005
MA,01703,2,005
MA,01704,2,005
MA,01705,2,005
MA,01706,2,005
MA,01707,2,005
MA,01708,2,005
MA,01709,2,005
MA,01710,2,005
MA,01711,2,005
MA,01712,2,005
MA,01713,2,005
MA,01714,2,005
MA,01715,2,005
MA,01716,2,005
MA,01717,2,005
MA,01718,2,005
MA,01719,2,005
MA,01720,2,005
MA,01721,2,005
MA,01722,2,005
MA,01723,2,005
MA,01724,2,005
MA,01725,2,005
MA,01726,2,005
MA,01727,2,005
MA,01728,2,005
MA,01729,2,005
MA,01730,2,005
MA,01732,2,005
MA,01733,2,005
MA,01734,2,005
MA,01735,2,005
MA,01736,2,005
MA,01737,2,005
MA,01738,2,005
MA,01739,2,005
MA,01740,2,005
MA,01741,2,005
MA,01742,2,005
MA,01743,2,005
MA,01744,2,005
MA,01745,2,005
MA,01746,2,005
MA,01747,2,005
MA,01748,2,005
MA,01749,2,005
MA,01750,2,005
MA,01751,2,005
MA,01752,2,005
MA,01753,2,005
MA,01754,2,005
MA,01755,2,005
MA,01756,2,005
MA,01757,2,005
MA,01758,2,005
MA,01759,2,005
MA,01760,2,005
MA,01761,2,005
MA,01762,2,005
MA,01763,2,005
MA,01764,2,005
MA,01765,2,005
MA,01766,2,005
MA,01767,2,005
MA,01768,2,005
MA,01769,2,005
MA,01770,2,005
MA,01771,2,005
MA,01772,2,005
MA,01773,2,005
MA,01774,2,005
MA,01775,2,005
MA,01776,2,005
MA,01777,2,005
MA,01778,2,005
MA,01779,2,005
MA,01800,2,005
MA,01801,2,005
MA,01802,2,005
MA,01803,2,005
MA,01804,2,005
MA,01805,2,005
MA,01806,2,005
MA,01807,2,005
MA,01808,2,005
MA,01809,2,005
MA,01810,2,005
MA,01811,2,005
MA,01812,2,005
MA,01813,2,005
MA,01814,2,005
MA,01815,2,005
MA,01816,2,005
MA,01817,2,005
MA,01818,2,005
MA,01819,2,005
MA,01820,2,005
MA,01821,2,005
MA,01822,2,005
MA,01823,2,005
MA,01824,2,005
MA,01825,2,005
MA,01826,2,005
MA,01827,2,005
MA,01828,2,005
MA,01829,2,005
MA,01830,2,005
MA,01831,2,005
MA,01832,2,005
MA,01833,2,005
MA,01834,2,005
MA,01835,2,005
MA,01836,2,005
MA,01837,2,005
MA,01838,2,005
MA,01839,2,005
MA,01840,2,005
MA,01841,2,005
MA,01842,2,005
MA,01843,2,005
MA,01844,2,005
MA,01845,2,005
MA,01846,2,005
MA,01847,2,005
MA,01848,2,005
MA,01849,2,005
MA,01850,2,005
MA,01851,2,005
MA,01852,2,005
MA,01853,2,005
MA,01854,2,005
MA,01855,2,005
MA,01856,2,005
MA,01857,2,005
MA,01858,2,005
MA,01859,2,005
MA,01860,2,005
MA,01861,2,005
MA,01862,2,005
MA,01863,2,005
MA,01864,2,005
MA,01865,2,005
MA,01866,2,005
MA,01867,2,005
MA,01868,2,005
MA,01869,2,005
MA,01870,2,005
MA,01871,2,005
MA,01872,2,005
MA,01873,2,005
MA,01874,2,005
MA,01875,2,005
MA,01876,2,005
MA,01877,2,005
MA,01878,2,005
MA,01879,2,005
MA,01880,2,005
MA,01881,2,005
MA,01882,2,005
MA,01883,2,005
MA,01884,2,005
MA,01885,2,005
MA,01886,2,005
MA,01887,2,005
MA,01889,2,005
MA,01890,2,005
MA,01891,2,005
MA,01892,2,005
MA,01893,2,005
MA,01894,2,005
MA,01895,2,005
MA,01896,2,005
MA,01897,2,005
MA,01898,2,005
MA,01899,2,005
MA,01900,2,005
MA,01901,2,005
MA,01902,2,005
MA,01903,2,005
MA,01904,2,005
MA,01905,2,005
MA,01906,2,005
MA,01907,2,005
MA,01908,2,005
MA,01909,2,005
MA,01910,2,005
MA,01911,2,005
MA,01912,2,005
MA,01913,2,005
MA,01914,2,005
MA,01915,2,005
MA,01916,2,005
MA,01917,2,005
MA,01918,2,005
MA,01919,2,005
MA,01920,2,005
MA,01921,2,005
MA,01922,2,005
MA,01923,2,005
MA,01924,2,005
MA,01925,2,005
MA,01926,2,005
MA,01927,2,005
MA,01928,2,005
MA,01929,2,005
MA,01930,2,005
MA,01931,2,005
MA,01932,2,005
MA,01933,2,005
MA,01934,2,005
MA,01935,2,005
MA,01936,2,005
MA,01937,2,005
MA,01938,2,005
MA,01939,2,005
MA,01940,2,005
MA,01941,2,005
MA,01942,2,005
MA,01943,2,005
