assigned_carrier,shipment_count,total_cost,avg_cost,avg_weight
P2P_US,223002,1011432.6599999663,4.535531788952414,2.241071674782348
FEDEX,209517,2774162.3973945477,13.240750857422299,6.174755914873733
P2P_US2,125494,752293.699999985,5.9946587087827705,1.0556914136079565
