metric,value
total_shipments,558013.0
current_mix_total,5971748.119387728
p2p_combined_total,6788506.439999999
p2p_us_only_total,3098915.03
p2p_us2_only_total,8884350.99
cost_difference,816758.3206122704
cost_diff_percent,13.677039022469872
avg_per_shipment_current,10.701808236345261
avg_per_shipment_p2p_combined,12.165498724940097
shipments_no_coverage,82.0
