p2p_combined_source,shipment_count,total_cost,avg_cost,avg_weight
,82,0.0,,57.53263846077123
P2P_US,267840,2257974.0799999754,8.430309438470637,3.3781382443373924
P2P_US2,290091,4530532.359999901,15.617624676394307,3.503881592943573
