weight_lbs,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7,zone_8
106,38.2,38.24,41.47,44.63,52.02,57.39,63.3
107,38.4,38.77,42.02,45.11,52.02,57.82,63.79
108,38.94,39.19,42.43,45.11,52.48,57.83,63.8
109,40.12,40.13,42.95,45.98,52.94,58.86,64.97
110,40.81,41.09,43.86,46.87,54.41,59.97,66.17
111,40.82,41.16,44.83,47.32,54.41,60.39,66.95
112,41.3,42.0,44.83,47.33,54.84,60.4,66.96
113,41.3,42.01,45.33,47.77,54.85,60.4,67.54
114,41.74,42.91,46.27,48.7,56.3,61.92,68.61
115,43.0,43.55,46.29,49.29,56.31,62.51,68.64
116,43.01,43.56,46.85,49.29,57.14,63.29,69.7
117,43.05,43.98,47.3,49.95,57.14,63.29,70.16
118,43.51,44.49,47.35,50.1,57.56,63.3,71.36
119,44.81,45.41,48.75,50.86,57.57,63.79,71.37
120,46.02,46.06,48.82,51.21,58.57,64.63,71.37
121,46.03,46.07,48.83,51.22,58.95,64.64,71.38
122,46.03,46.95,49.31,51.68,59.4,65.66,72.63
123,46.45,47.0,50.79,53.09,59.87,66.87,73.62
124,46.45,47.46,51.32,53.09,60.26,66.87,73.62
125,46.9,47.47,51.32,53.1,60.27,66.88,73.63
126,47.84,47.93,51.85,53.1,60.63,66.88,76.22
127,47.84,48.76,52.85,54.31,62.01,68.09,76.23
128,48.29,48.77,52.86,54.32,62.01,68.09,76.64
129,49.21,49.39,52.88,54.69,62.02,68.1,77.38
130,49.4,49.41,53.35,54.69,62.47,68.99,79.15
131,49.67,50.18,54.37,55.59,63.38,69.64,79.51
132,50.2,50.2,54.37,55.95,63.39,69.64,79.52
133,50.62,50.76,54.38,55.96,63.72,69.65,79.52
134,51.57,51.63,55.45,56.97,64.82,70.79,79.53
135,51.96,52.65,56.46,57.98,65.62,71.16,79.92
136,52.34,52.65,56.84,58.48,65.62,72.27,80.47
137,52.35,52.78,58.35,58.91,65.63,72.27,80.47
138,53.32,54.12,58.63,59.39,66.97,72.89,82.68
139,54.31,54.32,58.65,59.4,66.98,74.24,82.7
140,54.76,55.19,59.22,60.33,67.7,74.25,82.71
141,54.77,55.19,59.74,60.34,67.7,74.25,83.49
142,55.47,55.48,60.27,61.31,68.71,74.59,83.49
143,55.48,55.48,60.28,61.31,68.72,74.59,83.5
144,57.04,57.81,62.04,63.23,70.55,77.24,86.41
145,57.05,58.39,62.05,63.24,71.6,77.42,86.42
146,57.05,58.39,62.05,63.24,71.6,77.42,86.42
147,57.74,58.97,63.14,63.88,72.12,77.43,87.22
148,57.75,59.32,63.22,63.89,72.12,77.43,87.23
149,57.75,59.32,64.09,64.89,72.36,78.16,88.05
150,57.76,59.33,64.1,65.81,72.37,78.17,88.06
