packagetype,shipment_count,current_total,maersk_total,current_avg,maersk_avg,avg_weight,diff,diff_pct
PIZZA BOX 20x16x1,117206,984887.2417114654,583277.5899998748,8.40304456863527,4.976516475264703,1.2801360772315937,-401609.6517115906,-40.77722146280447
PIZZA BOX 12x8x1,55898,336672.4112065008,228091.08999994758,6.022977766762689,4.080487495079387,0.694598109654211,-108581.3212065532,-32.25132728204271
PIZZA BOX 16x12x2,43674,374048.2703597354,239371.32000001092,8.56455260245765,5.480865503503479,2.199338421151596,-134676.9503597245,-36.00523275517379
WRAP 16''x12'',42298,320439.0967798462,212727.8999999859,7.575750550376996,5.029266159156128,1.3065170732071762,-107711.19677986027,-33.61362513571868
PIZZA BOX 24x20x2,40950,406529.4887582152,414370.03000001085,9.927460042935659,10.118926251526517,4.2521460932502535,7840.5412417956395,1.9286525230298428
PIZZA BOX 36x24x2,37143,434925.29997179395,468729.38000006304,11.709482270462644,12.619588616968555,5.966790970008893,33804.08002826909,7.772387587123898
PIZZA BOX 20x16x2,36316,334515.16773982916,214657.1599999973,9.211233829161504,5.910815067738663,3.211601728026,-119858.00773983187,-35.830365645199095
PIZZA BOX 42x32x2,24809,451228.7361382996,586899.3999999664,18.18810657980167,23.656713289530668,8.881401802223563,135670.6638616668,30.066937895569744
WRAP 24''x16'',23432,211941.91655883068,225982.06000004394,9.044977661267954,9.644164390578863,2.616795410197715,14040.143441213266,6.6245241475468175
PIZZA BOX 40x30x1,21002,410906.06646736,209844.39999999717,19.5650922039501,9.991638891534006,3.347536797134331,-201061.66646736284,-48.931296681971475
PIZZA BOX 48X36X1,19768,506688.8143970614,526202.149999926,25.631769243072714,26.61888658437505,7.972522646557772,19513.335602864565,3.8511478936207864
"CROSS PACKAGING 30X24""",15128,151690.80877433388,161755.00999999227,10.02715552448003,10.692425304071408,5.977222017073381,10064.201225658384,6.634680971759212
"21"" Tube",12376,86353.80349222854,95556.57000000977,6.977521290580846,7.721119101487538,0.6042582732145482,9202.766507781227,10.65704825452122
PIZZA BOX 30x20x3,10152,119336.34197212101,127001.06000000173,11.754958823100965,12.509954688731455,5.516858980113605,7664.718027880721,6.422786136407072
POLY BAG 9x12,5471,30311.35588375105,22563.52000000001,5.540368467145138,4.124203984646319,0.8423596671021725,-7747.835883751039,-25.560835725941267
MUG BOX 16x12x8,4962,47307.579362769524,30747.210000000432,9.533974075527917,6.19653567110045,4.595561176559113,-16560.369362769092,-35.005742390196986
"26"" Tube",4717,37920.17588728918,36810.48999999943,8.039045131924778,7.80379266482922,0.6701594734236349,-1109.68588728975,-2.926373259945021
MUG BOX 5x5x5,4464,26566.6707470004,20435.830000000016,5.951315131496505,4.57791890681004,0.8879809015953741,-6130.840747000384,-23.077188727882312
MIXPIX BOX,3239,25787.406168810885,15832.419999999936,7.961533241374154,4.8880580426057225,1.2795503085736784,-9954.986168810949,-38.60406162466706
PIZZA BOX 42x32x2 (2x strapped),2910,89105.64882462693,242312.5100000035,30.62049787787867,83.26890378006993,22.43618681896649,153206.86117537657,171.93843846747617
"",2685,24013.518058625563,15415.909999999929,8.943582144739501,5.741493482309099,2.2415469698031387,-8597.608058625634,-35.80320067070475
PIZZA BOX 27x23x2,2427,28060.14406552005,29157.839999999673,11.561658041005376,12.013943139678481,7.271771033413389,1097.6959344796232,3.911939767367261
"CROSS PACKAGING 49X30""",2254,49214.97034100005,102245.08999999888,21.834503256876687,45.36161934338903,17.87450410592232,53030.119658998825,107.7520097880064
BUBBLE MAILER 9x14,2053,11581.807808374917,7630.730000000065,5.641406628531377,3.7168679980516632,0.4611580843536412,-3951.077808374852,-34.114517126745874
"POLY BAG 14,5x19",2043,19110.560938202707,12535.949999999986,9.354165902203968,6.136049926578554,3.7854007060557655,-6574.610938202721,-34.403024377268984
PIZZA BOX 24x20x2 (2x strapped),1846,22848.543399763217,24465.139999999956,12.377325785353856,13.253055254604526,10.816503176986654,1616.5966002367386,7.075272029172291
PIZZA BOX 40x30x2,1692,35292.81903434151,34112.98000000017,20.858640091218387,20.16133569739963,7.719637248270472,-1179.8390343413412,-3.343000266409165
BOX 16x24x12,1666,24772.659691328074,104730.4000000003,14.869543632249744,62.86338535414183,9.53640082577827,79957.74030867222,322.76607076091335
PIZZA BOX 30x20x3 (2x strapped),1519,21851.56062474091,41577.09000000038,14.385490865530553,27.371356155365625,11.072198246154315,19725.529375259473,90.27057478414477
MUG BOX 9x7x5,1493,11916.827439124992,7749.890000000018,7.9818000262056215,5.190817146684539,1.7429513124694795,-4166.937439124975,-34.96683543007599
"CROSS PACKAGING 40X30""",1483,19726.93654207845,28342.37999999999,13.302047567146628,19.111517194875248,12.772469999496195,8615.443457921541,43.67349912412609
PIZZA BOX 36x24x2 (2x strapped),1479,27164.23655747658,58123.46999999954,18.366623771113307,39.29916835699766,15.66901764688771,30959.233442522964,113.97056338033495
PIZZA BOX 42x32x2 (3x strapped),1133,40160.32928187482,112186.17000000019,35.44600995752412,99.01691968225965,37.7738852755992,72025.84071812537,179.34574244298366
MUG BOX 16x6x4,1130,9536.375558125008,6536.299999999997,8.43927040542036,5.784336283185838,2.8881570838603885,-3000.0755581250105,-31.45928492265535
Carpet Box 22x4x4,1112,9257.881528525319,10264.079999999965,8.325433029249387,9.230287769784141,1.3935197532698436,1006.1984714746468,10.868560678534882
POLY BAG 12x15,824,5387.003775999998,3318.8800000000206,6.53762594174757,4.027766990291287,0.64924263299978,-2068.123775999977,-38.39098433926878
PIZZA BOX 36x24x2 (3x strapped),777,16697.313150750037,62836.46000000023,21.48946351447881,80.8706048906052,24.10141399435321,46139.146849250195,276.3267744498021
WRAP 36''x24'' [x2],632,9134.26794399999,39264.60999999988,14.452955607594921,62.12754746835424,7.80773031028781,30130.342055999885,329.8605015828504
MIXPIX BOX_(2),504,4292.191296249999,2863.180000000007,8.516252571924602,5.680912698412713,2.3167215562752825,-1429.011296249992,-33.29328069553868
"CROSS PACKAGING 40X40""",444,8892.784083999988,11450.049999999963,20.028792981981955,25.788400900900818,16.61134483580638,2557.265915999975,28.756640123547367
PIZZA BOX 40x30x2 (2x strapped),441,10508.127828124998,31870.089999999993,23.827954258786843,72.26777777777777,17.006783835057103,21361.962171874995,203.28989636669354
PIZZA BOX 40x30x2 (3x strapped),433,12284.726412874976,41336.89000000019,28.371192639434124,95.46625866050852,32.334487156531274,29052.163587125215,236.49011472227147
MIXPIX BOX_(4),329,2879.6430176249983,1263.589999999999,8.75271433928571,3.8406990881458936,0.6352529616291815,-1616.0530176249993,-56.11990818771169
PIZZA BOX 24x20x2 (3x strapped),329,5142.473938375002,8664.62,15.63061987348025,26.336231003039515,16.31087700063787,3522.1460616249988,68.49127684131697
Carpet Box 37x5x5,319,2997.1633668749932,3180.4000000000015,9.39549644788399,9.969905956112857,3.44856883901029,183.2366331250082,6.113668515709264
WRAP 36''x24'',307,3599.036112519227,4029.059999999998,11.723244666186407,13.123973941368073,9.360633752628349,430.023887480771,11.948307103252876
WRAP 27''x23'',243,2326.6622701249994,2519.2500000000005,9.574741852366254,10.367283950617287,5.648342950171774,192.58772987500106,8.277425234761482
PIZZA BOX 27x23x2 (2x strapped),200,2952.1421908750017,5543.2099999999955,14.760710954375009,27.716049999999978,16.628873174552602,2591.067809124994,87.76907213798577
PIZZA BOX 30x20x3 (3x strapped),142,2164.364221375001,10494.52999999999,15.24200155897888,73.90514084507035,26.107265270131276,8330.165778624989,384.87818715340387
WRAP 40''x30'',69,874.6855305000001,1772.41,12.67660189130435,25.687101449275364,7.068403532349566,897.7244694999999,102.63396823162606
PIZZA BOX 27x23x2 (3x strapped),47,1041.763000375,3411.599999999999,22.16517022074468,72.58723404255316,26.461569332353186,2369.836999624999,227.48331422520636
WRAP 36''x24'' [x3],36,890.9669128749999,2998.909999999999,24.749080913194444,83.30305555555553,32.60955300469555,2107.943087124999,236.59050147249823
WRAP 40''x30'' [x3],6,149.15570087499998,420.86,24.859283479166663,70.14333333333333,25.67136066148667,271.70429912500003,182.1615248569694
PAPIER-VERSANDTASCHE klein 250x353x50,1,7.83,5.16,7.83,5.16,1.09790206476,-2.67,-34.099616858237546
