zone,packagetype,total_cost,avg_weight,usps_pct,fedex_pct,p2p_pct,usps_avg,fedex_avg,p2p_avg
2,MIXPIX BOX_(2),138.61,2.4,40.7,0.0,59.3,6.28,,4.34
2,"CROSS PACKAGING 40X40""",285.14,16.7,0.0,100.0,0.0,,12.96,
2,Carpet Box 37x5x5,150.24,3.5,5.3,84.2,10.5,9.41,8.25,4.39
2,MIXPIX BOX_(4),72.97,0.9,94.7,0.0,5.3,3.81,,4.39
2,WRAP 36''x24'',146.98,8.7,11.1,44.4,44.4,11.72,10.26,5.18
2,PIZZA BOX 40x30x2 (3x strapped),266.98,25.8,0.0,100.0,0.0,,17.8,
2,PIZZA BOX 27x23x2 (2x strapped),139.17,18.1,0.0,92.3,7.7,,11.05,6.51
2,PIZZA BOX 24x20x2 (3x strapped),105.22,17.0,0.0,81.8,18.2,,10.24,6.51
2,PIZZA BOX 30x20x3 (3x strapped),77.74,25.9,0.0,100.0,0.0,,9.72,
2,PIZZA BOX 27x23x2 (3x strapped),19.82,24.9,0.0,100.0,0.0,,9.91,
2,WRAP 40''x30'',23.22,6.1,0.0,100.0,0.0,,11.61,
2,WRAP 36''x24'' [x3],10.0,31.5,0.0,100.0,0.0,,10.0,
3,PIZZA BOX 20x16x1,69550.52,1.3,57.9,0.1,42.0,5.58,8.25,4.25
3,PIZZA BOX 12x8x1,27683.14,0.7,68.4,0.0,31.6,4.17,8.25,4.0
3,PIZZA BOX 16x12x2,28881.28,2.2,57.1,0.2,42.7,6.54,8.25,4.26
3,WRAP 16''x12'',23759.52,1.3,54.8,0.0,45.2,5.55,,4.19
3,PIZZA BOX 24x20x2,40527.03,4.2,32.7,59.4,7.9,10.24,8.29,4.52
3,PIZZA BOX 20x16x2,25490.39,3.2,58.6,2.9,38.5,6.97,8.25,4.34
3,PIZZA BOX 36x24x2,36882.44,5.9,21.9,55.0,23.1,11.99,10.28,4.92
3,PIZZA BOX 42x32x2,36200.07,8.9,0.0,100.0,0.0,,14.01,
3,WRAP 24''x16'',17040.75,2.6,27.0,22.9,50.1,9.68,8.26,4.25
3,PIZZA BOX 40x30x1,20164.73,3.2,32.4,67.6,0.0,10.11,8.29,
3,PIZZA BOX 48X36X1,26063.9,7.9,0.0,100.0,0.0,,14.5,
3,"CROSS PACKAGING 30X24""",12693.88,5.9,23.3,62.0,14.7,10.74,8.41,4.6
3,"21"" Tube",7082.41,0.6,43.8,1.1,55.1,6.87,8.25,4.19
3,PIZZA BOX 30x20x3,9163.45,5.5,24.4,27.5,48.1,11.96,10.59,4.86
3,POLY BAG 9x12,2605.37,0.8,70.1,0.0,29.9,4.29,,4.18
3,MUG BOX 16x12x8,4160.89,4.5,52.8,38.5,8.7,7.27,8.25,4.65
3,MUG BOX 5x5x5,2256.38,0.9,48.9,0.0,51.1,4.63,,4.03
3,"26"" Tube",2627.16,0.6,43.2,1.7,55.2,6.91,8.25,4.19
3,MIXPIX BOX,1713.51,1.3,55.4,1.7,42.9,5.24,8.25,4.2
3,"",1397.03,2.2,45.2,0.0,54.8,6.6,,4.25
3,PIZZA BOX 27x23x2,2095.78,7.1,25.9,26.6,47.5,11.86,10.42,4.73
3,BUBBLE MAILER 9x14,918.23,0.5,84.2,0.0,15.8,3.79,,3.9
3,"CROSS PACKAGING 49X30""",3871.73,17.9,0.0,100.0,0.0,,16.34,
3,PIZZA BOX 42x32x2 (2x strapped),4404.56,22.8,0.0,100.0,0.0,,19.4,
3,"POLY BAG 14,5x19",1490.3,3.8,45.5,48.5,6.1,7.14,8.25,4.63
3,PIZZA BOX 30x20x3 (2x strapped),2149.95,10.9,0.0,75.7,24.3,,12.63,7.49
3,PIZZA BOX 24x20x2 (2x strapped),1590.25,10.7,18.8,42.0,39.2,12.39,10.97,5.36
3,MUG BOX 9x7x5,764.18,1.7,49.0,0.0,51.0,5.83,,4.19
3,PIZZA BOX 36x24x2 (2x strapped),1871.81,16.7,0.0,88.2,11.8,,13.77,7.23
3,"CROSS PACKAGING 40X30""",1668.83,11.9,4.3,90.1,5.7,12.59,12.24,4.92
3,BOX 16x24x12,1597.03,8.2,0.0,94.3,5.7,,11.53,7.94
3,MUG BOX 16x6x4,694.78,2.8,45.3,0.0,54.7,6.82,,4.27
3,PIZZA BOX 40x30x2,1576.11,8.1,8.7,91.3,0.0,12.37,12.41,
3,Carpet Box 22x4x4,819.39,1.4,26.0,28.5,45.5,9.25,8.25,4.18
3,PIZZA BOX 42x32x2 (3x strapped),2612.52,36.4,0.0,100.0,0.0,,25.12,
3,WRAP 36''x24'' [x2],1096.25,7.6,0.0,94.3,5.7,,12.71,8.34
3,POLY BAG 12x15,313.16,0.6,84.8,0.0,15.2,3.94,,4.07
3,PIZZA BOX 36x24x2 (3x strapped),1162.23,22.8,0.0,97.3,2.7,,15.89,9.12
3,"CROSS PACKAGING 40X40""",988.66,15.8,0.0,100.0,0.0,,15.21,
3,MIXPIX BOX_(2),294.56,2.4,52.8,0.0,47.2,6.66,,4.32
3,PIZZA BOX 40x30x2 (2x strapped),910.94,16.3,0.0,100.0,0.0,,17.86,
3,PIZZA BOX 40x30x2 (3x strapped),903.04,27.8,0.0,100.0,0.0,,21.5,
3,Carpet Box 37x5x5,253.27,3.4,22.9,40.0,37.1,10.08,8.25,4.39
3,MIXPIX BOX_(4),129.06,0.5,100.0,0.0,0.0,3.8,,
3,WRAP 36''x24'',264.8,9.2,10.3,51.7,37.9,12.3,11.44,5.12
3,PIZZA BOX 24x20x2 (3x strapped),247.17,16.8,0.0,60.0,40.0,,12.13,6.53
3,WRAP 27''x23'',184.61,5.7,4.3,87.0,8.7,10.3,8.25,4.62
3,PIZZA BOX 27x23x2 (2x strapped),217.71,16.6,0.0,59.1,40.9,,12.13,6.68
3,PIZZA BOX 30x20x3 (3x strapped),240.72,29.2,0.0,100.0,0.0,,12.67,
3,WRAP 40''x30'',130.25,7.6,0.0,100.0,0.0,,13.03,
3,PIZZA BOX 27x23x2 (3x strapped),37.28,21.9,0.0,100.0,0.0,,12.43,
3,WRAP 40''x30'' [x3],46.21,32.7,0.0,100.0,0.0,,23.1,
4,PIZZA BOX 20x16x1,210363.65,1.3,52.7,0.5,46.8,5.88,8.28,4.36
4,PIZZA BOX 12x8x1,81814.42,0.7,67.1,0.1,32.8,4.28,8.31,4.12
4,PIZZA BOX 16x12x2,87065.71,2.2,52.5,2.3,45.2,7.04,8.27,4.36
4,WRAP 16''x12'',71465.78,1.3,50.0,0.2,49.8,5.89,8.25,4.29
4,PIZZA BOX 24x20x2,101804.23,4.2,27.2,28.2,44.6,10.95,8.81,4.6
