zone,packagetype,total_ships,total_cost,avg_weight_lbs,usps_ships,usps_pct,usps_cost,usps_avg,fedex_ships,fedex_pct,fedex_cost,fedex_avg,p2p_ships,p2p_pct,p2p_cost,p2p_avg,fedex_sp_ships,fedex_hd_ships
2,MIXPIX BOX_(4),19,72.97,0.87,18,94.7,68.58,3.81,0,0.0,0.0,,1,5.3,4.39,4.39,0,0
2,Carpet Box 37x5x5,19,150.24,3.46,1,5.3,9.41,9.41,16,84.2,132.05,8.25,2,10.5,8.78,4.39,16,0
2,WRAP 36''x24'',18,146.98,8.67,2,11.1,23.44,11.72,8,44.4,82.1,10.26,8,44.4,41.44,5.18,4,4
2,PIZZA BOX 40x30x2 (3x strapped),15,266.98,25.76,0,0.0,0.0,,15,100.0,266.98,17.8,0,0.0,0.0,,15,0
2,PIZZA BOX 27x23x2 (2x strapped),13,139.17,18.1,0,0.0,0.0,,12,92.3,132.66,11.05,1,7.7,6.51,6.51,0,12
2,PIZZA BOX 24x20x2 (3x strapped),11,105.22,16.96,0,0.0,0.0,,9,81.8,92.2,10.24,2,18.2,13.02,6.51,1,8
2,PIZZA BOX 30x20x3 (3x strapped),8,77.74,25.88,0,0.0,0.0,,8,100.0,77.74,9.72,0,0.0,0.0,,0,8
2,WRAP 40''x30'',2,23.22,6.11,0,0.0,0.0,,2,100.0,23.22,11.61,0,0.0,0.0,,0,2
2,PIZZA BOX 27x23x2 (3x strapped),2,19.82,24.87,0,0.0,0.0,,2,100.0,19.82,9.91,0,0.0,0.0,,0,2
2,WRAP 36''x24'' [x3],1,10.0,31.5,0,0.0,0.0,,1,100.0,10.0,10.0,0,0.0,0.0,,0,1
3,PIZZA BOX 20x16x1,13850,69550.52,1.27,8024,57.9,44737.12,5.58,7,0.1,57.77,8.25,5819,42.0,24755.63,4.25,7,0
3,PIZZA BOX 12x8x1,6719,27683.14,0.69,4594,68.4,19172.77,4.17,3,0.0,24.76,8.25,2122,31.6,8485.61,4.0,3,0
3,PIZZA BOX 16x12x2,5184,28881.28,2.21,2959,57.1,19362.89,6.54,11,0.2,90.79,8.25,2214,42.7,9427.6,4.26,11,0
3,WRAP 16''x12'',4814,23759.52,1.3,2639,54.8,14642.34,5.55,0,0.0,0.0,,2175,45.2,9117.18,4.19,0,0
3,PIZZA BOX 24x20x2,4695,40527.03,4.24,1534,32.7,15713.94,10.24,2790,59.4,23134.57,8.29,371,7.9,1678.52,4.52,2758,32
3,PIZZA BOX 20x16x2,4255,25490.39,3.18,2492,58.6,17357.81,6.97,123,2.9,1015.16,8.25,1640,38.5,7117.42,4.34,123,0
3,PIZZA BOX 36x24x2,3918,36882.44,5.9,858,21.9,10284.59,11.99,2155,55.0,22146.83,10.28,905,23.1,4451.02,4.92,149,2006
3,PIZZA BOX 42x32x2,2584,36200.07,8.88,0,0.0,0.0,,2584,100.0,36200.07,14.01,0,0.0,0.0,,2584,0
3,WRAP 24''x16'',2568,17040.75,2.62,694,27.0,6720.98,9.68,587,22.9,4849.48,8.26,1287,50.1,5470.29,4.25,584,3
3,PIZZA BOX 40x30x1,2272,20164.73,3.24,735,32.4,7428.05,10.11,1537,67.6,12736.68,8.29,0,0.0,0.0,,1514,23
3,PIZZA BOX 48X36X1,1797,26063.9,7.9,0,0.0,0.0,,1797,100.0,26063.9,14.5,0,0.0,0.0,,1797,0
3,"CROSS PACKAGING 30X24""",1513,12693.88,5.89,352,23.3,3779.39,10.74,938,62.0,7889.25,8.41,223,14.7,1025.24,4.6,903,35
3,"21"" Tube",1309,7082.41,0.61,573,43.8,3936.74,6.87,15,1.1,123.8,8.25,721,55.1,3021.87,4.19,15,0
3,PIZZA BOX 30x20x3,1122,9163.45,5.48,274,24.4,3277.45,11.96,308,27.5,3263.15,10.59,540,48.1,2622.85,4.86,25,283
3,POLY BAG 9x12,612,2605.37,0.84,429,70.1,1840.08,4.29,0,0.0,0.0,,183,29.9,765.29,4.18,0,0
3,MUG BOX 16x12x8,561,4160.89,4.47,296,52.8,2150.47,7.27,216,38.5,1782.72,8.25,49,8.7,227.7,4.65,216,0
3,MUG BOX 5x5x5,522,2256.38,0.89,255,48.9,1179.56,4.63,0,0.0,0.0,,267,51.1,1076.82,4.03,0,0
3,"26"" Tube",484,2627.16,0.62,209,43.2,1443.65,6.91,8,1.7,66.03,8.25,267,55.2,1117.48,4.19,8,0
3,MIXPIX BOX,354,1713.51,1.35,196,55.4,1026.15,5.24,6,1.7,49.52,8.25,152,42.9,637.84,4.2,6,0
3,"",263,1397.03,2.21,119,45.2,785.19,6.6,0,0.0,0.0,,144,54.8,611.84,4.25,0,0
3,PIZZA BOX 27x23x2,259,2095.78,7.09,67,25.9,794.79,11.86,69,26.6,718.91,10.42,123,47.5,582.08,4.73,26,43
3,BUBBLE MAILER 9x14,241,918.23,0.46,203,84.2,770.11,3.79,0,0.0,0.0,,38,15.8,148.12,3.9,0,0
3,"CROSS PACKAGING 49X30""",237,3871.73,17.95,0,0.0,0.0,,237,100.0,3871.73,16.34,0,0.0,0.0,,237,0
3,PIZZA BOX 42x32x2 (2x strapped),227,4404.56,22.79,0,0.0,0.0,,227,100.0,4404.56,19.4,0,0.0,0.0,,217,10
3,"POLY BAG 14,5x19",198,1490.3,3.82,90,45.5,642.38,7.14,96,48.5,792.32,8.25,12,6.1,55.6,4.63,96,0
3,PIZZA BOX 30x20x3 (2x strapped),189,2149.95,10.85,0,0.0,0.0,,143,75.7,1805.38,12.63,46,24.3,344.57,7.49,7,136
3,PIZZA BOX 24x20x2 (2x strapped),176,1590.25,10.66,33,18.8,408.71,12.39,74,42.0,811.47,10.97,69,39.2,370.07,5.36,9,65
3,MUG BOX 9x7x5,153,764.18,1.7,75,49.0,437.18,5.83,0,0.0,0.0,,78,51.0,327.0,4.19,0,0
3,PIZZA BOX 36x24x2 (2x strapped),144,1871.81,16.7,0,0.0,0.0,,127,88.2,1748.87,13.77,17,11.8,122.94,7.23,34,93
3,"CROSS PACKAGING 40X30""",141,1668.83,11.89,6,4.3,75.52,12.59,127,90.1,1553.94,12.24,8,5.7,39.37,4.92,54,73
3,BOX 16x24x12,141,1597.03,8.24,0,0.0,0.0,,133,94.3,1533.51,11.53,8,5.7,63.52,7.94,0,133
3,MUG BOX 16x6x4,128,694.78,2.82,58,45.3,395.79,6.82,0,0.0,0.0,,70,54.7,298.99,4.27,0,0
3,PIZZA BOX 40x30x2,127,1576.11,8.05,11,8.7,136.02,12.37,116,91.3,1440.09,12.41,0,0.0,0.0,,72,44
3,Carpet Box 22x4x4,123,819.39,1.39,32,26.0,296.16,9.26,35,28.5,288.87,8.25,56,45.5,234.36,4.19,35,0
3,PIZZA BOX 42x32x2 (3x strapped),104,2612.52,36.41,0,0.0,0.0,,104,100.0,2612.52,25.12,0,0.0,0.0,,46,58
3,WRAP 36''x24'' [x2],88,1096.25,7.62,0,0.0,0.0,,83,94.3,1054.56,12.71,5,5.7,41.69,8.34,1,82
3,POLY BAG 12x15,79,313.16,0.62,67,84.8,264.28,3.94,0,0.0,0.0,,12,15.2,48.88,4.07,0,0
3,PIZZA BOX 36x24x2 (3x strapped),74,1162.23,22.78,0,0.0,0.0,,72,97.3,1143.99,15.89,2,2.7,18.24,9.12,0,72
3,"CROSS PACKAGING 40X40""",65,988.66,15.77,0,0.0,0.0,,65,100.0,988.66,15.21,0,0.0,0.0,,65,0
3,MIXPIX BOX_(2),53,294.56,2.36,28,52.8,186.6,6.66,0,0.0,0.0,,25,47.2,107.96,4.32,0,0
3,PIZZA BOX 40x30x2 (2x strapped),51,910.94,16.34,0,0.0,0.0,,51,100.0,910.94,17.86,0,0.0,0.0,,51,0
3,PIZZA BOX 40x30x2 (3x strapped),42,903.04,27.77,0,0.0,0.0,,42,100.0,903.04,21.5,0,0.0,0.0,,14,28
3,Carpet Box 37x5x5,35,253.27,3.36,8,22.9,80.61,10.08,14,40.0,115.55,8.25,13,37.1,57.11,4.39,14,0
3,MIXPIX BOX_(4),34,129.06,0.53,34,100.0,129.06,3.8,0,0.0,0.0,,0,0.0,0.0,,0,0
3,WRAP 36''x24'',29,264.8,9.18,3,10.3,36.9,12.3,15,51.7,171.59,11.44,11,37.9,56.31,5.12,2,13
3,PIZZA BOX 24x20x2 (3x strapped),25,247.17,16.78,0,0.0,0.0,,15,60.0,181.91,12.13,10,40.0,65.26,6.53,1,14
3,WRAP 27''x23'',23,184.61,5.75,1,4.3,10.3,10.3,20,87.0,165.07,8.25,2,8.7,9.24,4.62,20,0
