packagetype,p2p_zone,weight_group,shipments,carrier,assigned_avg,usps_avg,fedex_avg,p2p_avg
PIZZA BOX 40x30x2 (3x strapped),true,16-20,8,FEDEX,28.77,193.98,28.77,43.35
PIZZA BOX 40x30x2 (3x strapped),true,21+,197,FEDEX,28.01,200.0,28.01,44.38
MIXPIX BOX_(4),false,1-3,156,USPS,4.14,4.14,10.27,
MIXPIX BOX_(4),false,4-6,5,FEDEX,12.53,10.97,12.53,
MIXPIX BOX_(4),true,1-3,161,P2P,4.37,4.1,8.99,4.37
MIXPIX BOX_(4),true,4-6,7,P2P,4.47,8.24,8.49,4.47
PIZZA BOX 24x20x2 (3x strapped),false,4-6,1,FEDEX,13.74,75.75,13.74,
PIZZA BOX 24x20x2 (3x strapped),false,7-10,11,FEDEX,13.39,75.41,13.39,
PIZZA BOX 24x20x2 (3x strapped),false,11-15,36,FEDEX,15.05,75.72,15.05,
PIZZA BOX 24x20x2 (3x strapped),false,16-20,98,FEDEX,15.48,75.42,15.48,
PIZZA BOX 24x20x2 (3x strapped),false,21+,22,FEDEX,15.25,200.0,15.25,
PIZZA BOX 24x20x2 (3x strapped),true,7-10,8,P2P,6.74,75.56,12.32,6.74
PIZZA BOX 24x20x2 (3x strapped),true,11-15,32,P2P,6.95,75.72,14.4,6.95
PIZZA BOX 24x20x2 (3x strapped),true,16-20,106,P2P,7.18,75.41,13.68,7.18
PIZZA BOX 24x20x2 (3x strapped),true,21+,15,FEDEX,11.15,200.0,13.75,8.4
Carpet Box 37x5x5,false,1-3,61,FEDEX,10.73,10.89,10.73,
Carpet Box 37x5x5,false,4-6,86,FEDEX,10.03,12.04,10.03,
Carpet Box 37x5x5,true,1-3,68,P2P,4.6,11.44,9.74,4.6
Carpet Box 37x5x5,true,4-6,104,P2P,4.68,13.31,9.85,4.68
WRAP 36''x24'',false,4-6,5,FEDEX,13.01,15.92,13.01,
WRAP 36''x24'',false,7-10,111,FEDEX,12.81,17.09,12.81,
WRAP 36''x24'',false,11-15,28,FEDEX,12.45,17.07,12.45,
WRAP 36''x24'',false,16-20,7,FEDEX,15.3,20.66,15.3,
WRAP 36''x24'',false,21+,5,FEDEX,14.86,200.0,14.86,
WRAP 36''x24'',true,4-6,12,P2P,5.24,15.58,11.2,5.24
WRAP 36''x24'',true,7-10,93,P2P,5.27,17.11,11.74,5.27
WRAP 36''x24'',true,11-15,25,P2P,5.47,16.33,11.52,5.47
WRAP 36''x24'',true,16-20,14,P2P,7.1,18.96,13.11,7.1
WRAP 36''x24'',true,21+,7,FEDEX,16.83,200.0,16.83,8.85
WRAP 27''x23'',false,1-3,2,FEDEX,8.61,10.07,8.61,
WRAP 27''x23'',false,4-6,44,FEDEX,10.61,12.14,10.61,
WRAP 27''x23'',false,7-10,52,FEDEX,11.4,14.03,11.4,
WRAP 27''x23'',false,11-15,1,FEDEX,10.12,13.34,10.12,
WRAP 27''x23'',true,1-3,7,P2P,4.68,10.35,10.65,4.68
WRAP 27''x23'',true,4-6,91,P2P,4.73,12.24,9.86,4.73
WRAP 27''x23'',true,7-10,46,P2P,5.03,14.41,9.67,4.87
PIZZA BOX 27x23x2 (2x strapped),false,7-10,5,FEDEX,11.46,75.0,11.46,
PIZZA BOX 27x23x2 (2x strapped),false,11-15,45,FEDEX,15.22,75.6,15.22,
PIZZA BOX 27x23x2 (2x strapped),false,16-20,38,FEDEX,14.64,75.39,14.64,
PIZZA BOX 27x23x2 (2x strapped),false,21+,13,FEDEX,17.86,200.0,17.86,
PIZZA BOX 27x23x2 (2x strapped),true,4-6,1,P2P,6.51,75.0,12.11,6.51
PIZZA BOX 27x23x2 (2x strapped),true,7-10,6,P2P,6.72,75.33,11.13,6.72
PIZZA BOX 27x23x2 (2x strapped),true,11-15,36,P2P,7.02,75.51,14.54,7.02
PIZZA BOX 27x23x2 (2x strapped),true,16-20,40,P2P,7.15,75.47,13.76,7.15
PIZZA BOX 27x23x2 (2x strapped),true,21+,16,FEDEX,14.06,200.0,14.06,16.72
PIZZA BOX 30x20x3 (3x strapped),false,11-15,9,FEDEX,15.85,75.86,15.85,
PIZZA BOX 30x20x3 (3x strapped),false,16-20,10,FEDEX,14.18,75.45,14.18,
PIZZA BOX 30x20x3 (3x strapped),false,21+,55,FEDEX,16.66,200.0,16.66,
PIZZA BOX 30x20x3 (3x strapped),true,11-15,8,P2P,10.16,76.94,12.67,10.16
PIZZA BOX 30x20x3 (3x strapped),true,16-20,11,P2P,10.36,76.11,14.02,10.36
PIZZA BOX 30x20x3 (3x strapped),true,21+,49,FEDEX,13.18,200.0,14.49,22.89
WRAP 40''x30'',false,4-6,12,FEDEX,13.27,28.12,13.27,
WRAP 40''x30'',false,7-10,15,FEDEX,13.64,28.06,13.64,
WRAP 40''x30'',false,11-15,7,FEDEX,13.91,27.98,13.91,
WRAP 40''x30'',true,4-6,16,FEDEX,14.69,29.84,14.69,39.64
WRAP 40''x30'',true,7-10,15,FEDEX,13.24,29.79,13.24,39.45
WRAP 40''x30'',true,11-15,4,FEDEX,11.32,25.62,11.32,39.04
PIZZA BOX 27x23x2 (3x strapped),false,21+,26,FEDEX,22.05,200.0,22.05,
PIZZA BOX 27x23x2 (3x strapped),true,21+,21,FEDEX,15.02,200.0,15.02,15.56
WRAP 36''x24'' [x3],false,21+,11,FEDEX,23.64,200.0,23.64,
WRAP 36''x24'' [x3],true,21+,25,FEDEX,15.68,200.0,15.68,41.75
WRAP 40''x30'' [x3],false,21+,3,FEDEX,25.4,200.0,25.4,
WRAP 40''x30'' [x3],true,21+,3,FEDEX,25.34,200.0,25.34,43.07
PAPIER-VERSANDTASCHE klein 250x353x50,true,1-3,1,FEDEX,8.25,6.46,8.25,4.31
