packagetype,p2p_zone,weight_group,shipments,carrier,assigned_avg,usps_avg,fedex_avg,p2p_avg
WRAP 24''x16'',false,1-3,10108,FEDEX,10.27,11.2,10.27,
WRAP 24''x16'',false,4-6,295,FEDEX,10.66,12.14,10.66,
WRAP 24''x16'',true,1-3,12784,P2P,4.46,11.37,9.06,4.46
WRAP 24''x16'',true,4-6,245,P2P,4.52,12.08,9.48,4.52
PIZZA BOX 40x30x1,false,1-3,4065,FEDEX,11.16,11.23,11.16,
PIZZA BOX 40x30x1,false,4-6,4908,FEDEX,11.18,12.7,11.18,
PIZZA BOX 40x30x1,false,7-10,477,FEDEX,11.23,14.29,11.23,
PIZZA BOX 40x30x1,false,11-15,38,FEDEX,12.88,16.22,12.88,
PIZZA BOX 40x30x1,true,1-3,4499,FEDEX,10.13,11.41,10.13,39.37
PIZZA BOX 40x30x1,true,4-6,6355,FEDEX,10.08,12.78,10.08,39.39
PIZZA BOX 40x30x1,true,7-10,591,FEDEX,10.19,14.27,10.19,39.39
PIZZA BOX 40x30x1,true,11-15,69,FEDEX,11.99,16.91,11.99,39.44
PIZZA BOX 48X36X1,false,4-6,2230,FEDEX,20.11,192.56,20.11,
PIZZA BOX 48X36X1,false,7-10,4615,FEDEX,19.23,185.46,19.23,
PIZZA BOX 48X36X1,false,11-15,1904,FEDEX,19.37,185.14,19.37,
PIZZA BOX 48X36X1,false,16-20,156,FEDEX,19.76,188.39,19.76,
PIZZA BOX 48X36X1,false,21+,80,FEDEX,22.73,200.0,22.73,
PIZZA BOX 48X36X1,true,4-6,2724,FEDEX,19.27,193.59,19.27,39.51
PIZZA BOX 48X36X1,true,7-10,5377,FEDEX,18.73,189.4,18.73,39.48
PIZZA BOX 48X36X1,true,11-15,2378,FEDEX,18.85,188.8,18.85,39.49
PIZZA BOX 48X36X1,true,16-20,160,FEDEX,18.01,183.95,18.01,39.43
PIZZA BOX 48X36X1,true,21+,144,FEDEX,20.74,200.0,20.74,39.64
"CROSS PACKAGING 30X24""",false,1-3,6,FEDEX,11.55,11.06,11.55,
"CROSS PACKAGING 30X24""",false,4-6,4311,FEDEX,10.79,13.0,10.79,
"CROSS PACKAGING 30X24""",false,7-10,1867,FEDEX,11.63,14.42,11.63,
"CROSS PACKAGING 30X24""",false,11-15,311,FEDEX,12.91,16.67,12.91,
"CROSS PACKAGING 30X24""",false,16-20,26,FEDEX,13.82,17.44,13.82,
"CROSS PACKAGING 30X24""",true,1-3,19,P2P,4.68,10.89,9.89,4.68
"CROSS PACKAGING 30X24""",true,4-6,6325,P2P,4.7,13.23,9.63,4.7
"CROSS PACKAGING 30X24""",true,7-10,1837,P2P,4.9,14.6,10.52,4.9
"CROSS PACKAGING 30X24""",true,11-15,384,P2P,5.56,16.46,11.97,5.56
"CROSS PACKAGING 30X24""",true,16-20,42,P2P,7.24,17.83,12.35,6.6
"21"" Tube",false,1-3,5105,USPS,7.26,7.3,9.92,
"21"" Tube",false,4-6,30,FEDEX,11.14,13.09,11.14,
"21"" Tube",false,7-10,5,FEDEX,9.62,12.54,9.62,
"21"" Tube",false,21+,1,FEDEX,15.13,200.0,15.13,
"21"" Tube",true,1-3,7168,P2P,4.38,7.26,8.8,4.38
"21"" Tube",true,4-6,56,P2P,4.55,12.32,9.21,4.55
"21"" Tube",true,7-10,8,FEDEX,10.94,14.81,10.94,4.88
"21"" Tube",true,16-20,1,FEDEX,10.52,12.69,10.52,6.51
"21"" Tube",true,21+,2,FEDEX,14.21,200.0,14.21,8.29
PIZZA BOX 30x20x3,false,1-3,914,FEDEX,12.6,15.91,12.6,
PIZZA BOX 30x20x3,false,4-6,2001,FEDEX,12.92,16.05,12.92,
PIZZA BOX 30x20x3,false,7-10,1667,FEDEX,13.0,16.15,13.0,
PIZZA BOX 30x20x3,false,11-15,199,FEDEX,12.8,16.2,12.8,
PIZZA BOX 30x20x3,false,16-20,18,FEDEX,14.92,18.8,14.92,
PIZZA BOX 30x20x3,false,21+,25,FEDEX,15.07,200.0,15.07,
PIZZA BOX 30x20x3,true,1-3,1189,P2P,5.05,16.42,11.95,5.05
PIZZA BOX 30x20x3,true,4-6,2244,P2P,5.05,16.29,12.0,5.05
PIZZA BOX 30x20x3,true,7-10,1646,P2P,5.04,16.18,11.99,5.04
PIZZA BOX 30x20x3,true,11-15,206,P2P,5.62,16.11,11.81,5.62
PIZZA BOX 30x20x3,true,16-20,15,P2P,6.9,19.59,13.61,6.9
PIZZA BOX 30x20x3,true,21+,28,P2P,8.22,200.0,13.06,8.22
POLY BAG 9x12,false,1-3,2149,USPS,4.92,4.92,9.93,
POLY BAG 9x12,true,1-3,3322,P2P,4.4,5.08,8.79,4.4
MUG BOX 16x12x8,false,1-3,519,USPS,7.81,7.81,11.31,
