weight_lbs,zone_2,zone_3,zone_4,zone_5,zone_6,zone_7,zone_8,zone_9,zone_17
83,16.32,18.43,20.99,24.49,29.27,34.82,36.11,350.81,350.81
84,16.97,19.16,21.6,24.73,29.99,35.24,36.39,354.86,354.86
85,17.42,19.17,21.62,25.13,30.17,35.62,36.78,358.99,358.99
86,18.06,20.23,22.46,25.6,30.82,36.63,37.91,362.76,362.76
87,18.43,20.24,22.47,25.61,31.22,36.65,37.97,366.85,366.85
88,19.19,20.69,23.17,26.43,31.34,36.69,38.39,370.9,370.9
89,20.05,21.27,23.63,26.52,32.02,37.07,39.19,374.78,374.78
90,21.28,22.19,24.65,27.3,32.47,37.93,39.97,378.56,378.56
91,21.28,22.19,24.65,27.3,32.48,37.93,39.97,382.61,382.61
92,21.76,22.4,24.79,27.56,32.88,37.94,40.09,386.26,386.26
93,22.04,22.62,25.25,27.57,32.88,37.94,40.09,390.02,390.02
94,22.15,23.21,25.38,27.92,33.57,37.95,40.89,393.7,393.7
95,22.45,23.42,25.55,28.3,33.67,38.08,41.33,397.53,397.53
96,23.17,23.58,26.48,28.61,33.68,38.08,41.73,401.16,401.16
97,23.93,24.5,26.87,29.08,34.4,38.63,42.56,404.99,404.99
98,24.25,24.66,26.87,29.41,34.79,38.63,42.56,408.58,408.58
99,24.58,24.8,27.37,29.79,34.87,39.02,42.99,412.41,412.41
100,25.0,25.22,27.63,29.95,35.25,39.05,43.02,416.24,416.24
101,25.17,25.47,27.64,30.23,35.58,39.42,43.42,416.25,416.25
102,25.41,25.47,27.9,30.23,35.59,39.42,43.42,416.26,416.26
103,25.74,26.1,28.48,30.41,35.68,39.43,43.43,416.27,416.27
104,25.75,26.11,28.55,30.45,35.68,39.43,43.43,416.31,416.31
105,26.67,26.88,29.15,31.37,36.56,40.35,44.5,420.02,420.02
106,26.85,26.88,29.15,31.37,36.57,40.35,44.5,423.91,423.91
107,26.99,27.25,29.54,31.71,36.57,40.65,44.85,427.82,427.82
108,27.38,27.55,29.83,31.71,36.9,40.66,44.86,431.73,431.73
109,28.21,28.21,30.2,32.33,37.22,41.38,45.67,435.42,435.42
110,28.69,28.89,30.84,32.95,38.25,42.16,46.52,439.09,439.09
111,28.7,28.93,31.52,33.27,38.25,42.46,47.07,444.1,444.1
112,29.03,29.53,31.52,33.27,38.56,42.46,47.07,449.11,449.11
113,29.04,29.53,31.87,33.58,38.56,42.47,47.48,453.0,453.0
114,29.34,30.17,32.53,34.24,39.58,43.53,48.24,456.94,456.94
115,30.23,30.62,32.54,34.65,39.59,43.94,48.25,460.83,460.83
116,30.24,30.62,32.94,34.65,40.17,44.49,49.0,463.72,463.72
117,30.27,30.92,33.26,35.12,40.17,44.5,49.32,467.4,467.4
118,30.59,31.28,33.29,35.22,40.47,44.5,50.17,471.09,471.09
119,31.5,31.92,34.27,35.76,40.47,44.85,50.17,477.91,477.91
120,32.36,32.38,34.32,36.0,41.18,45.44,50.18,481.83,481.83
121,32.36,32.39,34.33,36.01,41.44,45.45,50.18,485.05,485.05
122,32.36,33.01,34.66,36.33,41.76,46.16,51.06,493.76,493.76
123,32.65,33.04,35.71,37.32,42.09,47.01,51.76,493.77,493.77
124,32.66,33.37,36.08,37.32,42.37,47.01,51.76,497.43,497.43
125,32.97,33.37,36.08,37.33,42.37,47.02,51.76,501.59,501.59
126,33.63,33.7,36.45,37.33,42.62,47.02,53.59,504.7,504.7
127,33.64,34.28,37.16,38.18,43.59,47.87,53.59,508.8,508.8
128,33.95,34.28,37.16,38.19,43.6,47.87,53.88,512.94,512.94
129,34.59,34.73,37.18,38.45,43.6,47.88,54.4,517.08,517.08
130,34.73,34.74,37.51,38.45,43.92,48.5,55.64,531.25,531.25
131,34.92,35.28,38.22,39.08,44.56,48.96,55.9,531.26,531.26
132,35.29,35.29,38.23,39.34,44.57,48.96,55.9,536.03,536.03
133,35.59,35.68,38.23,39.34,44.8,48.96,55.91,539.25,539.25
134,36.25,36.29,38.98,40.05,45.57,49.77,55.91,539.27,539.27
135,36.53,37.01,39.69,40.76,46.13,50.03,56.19,543.35,543.35
136,36.8,37.02,39.96,41.11,46.13,50.81,56.57,547.48,547.48
137,36.8,37.1,41.02,41.42,46.14,50.81,56.57,562.18,562.18
138,37.49,38.05,41.22,41.76,47.08,51.24,58.13,565.17,565.17
139,38.18,38.19,41.23,41.76,47.09,52.2,58.14,565.18,565.18
140,38.5,38.8,41.64,42.42,47.59,52.2,58.14,565.19,565.19
141,38.5,38.8,42.0,42.42,47.6,52.2,58.69,566.64,566.64
142,39.0,39.0,42.37,43.1,48.31,52.44,58.7,576.09,576.09
143,39.0,39.0,42.38,43.11,48.31,52.44,58.7,579.99,579.99
144,40.1,40.64,43.62,44.45,49.6,54.31,60.75,583.97,583.97
145,40.1,41.05,43.62,44.46,50.34,54.43,60.75,583.98,583.98
146,40.11,41.05,43.62,44.46,50.34,54.43,60.76,586.69,586.69
147,40.6,41.46,44.39,44.91,50.7,54.43,61.32,600.67,600.67
148,40.6,41.7,44.44,44.91,50.7,54.44,61.32,600.68,600.68
149,40.6,41.71,45.06,45.62,50.87,54.95,61.9,601.96,601.96
150,40.61,41.71,45.06,46.27,50.88,54.96,61.91,606.09,606.09
