zip_code,das_type_hd,das_type_sp
03084,DAS,DAS
03086,DAS,DAS
03217,DAS_EXTENDED,DAS_EXTENDED
03218,DAS_EXTENDED,
03220,DAS,
03221,DAS_EXTENDED,DAS_EXTENDED
03222,DAS_EXTENDED,DAS_EXTENDED
03223,DAS_EXTENDED,DAS_EXTENDED
03224,DAS_EXTENDED,DAS_EXTENDED
03225,DAS_EXTENDED,DAS_EXTENDED
03226,DAS,DAS
03229,DAS,DAS
03234,DAS_EXTENDED,DAS_EXTENDED
03235,DAS,
03240,DAS_EXTENDED,DAS_EXTENDED
03241,DAS_EXTENDED,
03242,DAS_EXTENDED,DAS_EXTENDED
03244,DAS_EXTENDED,DAS_EXTENDED
03245,DAS_EXTENDED,DAS_EXTENDED
03246,DAS,DAS
03249,DAS,DAS
03251,DAS_EXTENDED,
03253,DAS_EXTENDED,DAS_EXTENDED
03254,DAS,
03255,DAS_EXTENDED,
03256,,DAS_EXTENDED
03257,DAS,DAS
03258,DAS,DAS
03261,DAS_EXTENDED,DAS_EXTENDED
03262,DAS_EXTENDED,
03263,,DAS_EXTENDED
03264,DAS,DAS
03268,DAS_EXTENDED,
03269,DAS_EXTENDED,DAS_EXTENDED
03275,DAS,DAS
03278,DAS_EXTENDED,DAS_EXTENDED
03279,DAS_EXTENDED,
03280,DAS_REMOTE,
03281,DAS,DAS
03282,DAS_EXTENDED,
03284,DAS_EXTENDED,
03285,DAS_EXTENDED,
03290,DAS_EXTENDED,DAS_EXTENDED
03293,,DAS
03303,DAS,DAS
03304,DAS,DAS
03307,DAS_EXTENDED,DAS_EXTENDED
03440,DAS_EXTENDED,
03442,,DAS_EXTENDED
03443,,DAS_EXTENDED
03444,,DAS_EXTENDED
03445,DAS_EXTENDED,
03446,DAS,DAS
03447,DAS_EXTENDED,DAS_EXTENDED
03448,DAS,DAS
03452,DAS,DAS
03455,DAS_EXTENDED,
03456,DAS_EXTENDED,
03457,DAS_EXTENDED,
03458,DAS,DAS
03461,DAS,
03462,DAS_EXTENDED,DAS_EXTENDED
03464,DAS_EXTENDED,DAS_EXTENDED
03465,DAS_EXTENDED,DAS_EXTENDED
03466,DAS,DAS
03467,,DAS
03470,DAS,DAS
03561,DAS_EXTENDED,DAS_EXTENDED
03570,DAS,DAS
03574,DAS_EXTENDED,
03576,DAS_EXTENDED,DAS_EXTENDED
03580,DAS_EXTENDED,DAS_EXTENDED
03581,DAS,DAS
03583,DAS_EXTENDED,
03584,DAS,DAS
03585,DAS,
03586,DAS_EXTENDED,
03590,,DAS_EXTENDED
03595,DAS_EXTENDED,DAS_EXTENDED
03597,DAS_REMOTE,DAS_EXTENDED
03598,DAS,DAS
03601,,DAS_EXTENDED
03602,,DAS_EXTENDED
03603,DAS_EXTENDED,DAS_EXTENDED
03605,DAS_EXTENDED,
03608,DAS,
03609,DAS_EXTENDED,
03741,DAS,DAS
03743,DAS,DAS
03748,,DAS
03752,DAS_EXTENDED,
03753,DAS,DAS
03765,DAS_EXTENDED,DAS_EXTENDED
03768,DAS_EXTENDED,DAS_EXTENDED
03770,DAS,
03773,DAS,DAS
03774,DAS,DAS
03777,,DAS_EXTENDED
03781,DAS_EXTENDED,
03782,DAS_EXTENDED,
03785,DAS,
03809,DAS_EXTENDED,
03810,DAS_EXTENDED,
03811,DAS,DAS
03812,DAS_EXTENDED,
03813,DAS_EXTENDED,
03814,DAS_EXTENDED,DAS_EXTENDED
03816,DAS_EXTENDED,
03817,DAS_EXTENDED,
03818,DAS_EXTENDED,DAS_EXTENDED
03819,DAS,DAS
03823,DAS,DAS
03824,DAS,DAS
03825,DAS,DAS
03827,,DAS
03830,DAS_EXTENDED,DAS_EXTENDED
03835,,DAS_EXTENDED
03836,,DAS_EXTENDED
03837,DAS_EXTENDED,
03841,DAS,DAS
03844,DAS,DAS
03845,DAS_EXTENDED,
03848,DAS,DAS
03849,DAS_EXTENDED,DAS_EXTENDED
03851,DAS_EXTENDED,DAS_EXTENDED
03852,,DAS_EXTENDED
03855,DAS_EXTENDED,DAS_EXTENDED
03856,DAS,DAS
03860,DAS_EXTENDED,DAS_EXTENDED
03861,DAS,DAS
03864,,DAS_EXTENDED
03868,DAS,DAS
03869,DAS,DAS
03870,DAS,DAS
03872,DAS_EXTENDED,DAS_EXTENDED
03873,DAS,DAS
03882,DAS_EXTENDED,
03884,DAS_EXTENDED,
03886,DAS_EXTENDED,
03887,DAS_EXTENDED,DAS_EXTENDED
03890,DAS_EXTENDED,
03894,DAS_EXTENDED,DAS_EXTENDED
03901,DAS,DAS
03902,DAS,DAS
03903,DAS,DAS
03905,DAS,
03907,DAS,DAS
03908,DAS,DAS
04001,DAS_EXTENDED,DAS_EXTENDED
04002,DAS,DAS
04008,DAS_EXTENDED,
04009,DAS_EXTENDED,DAS_EXTENDED
04010,DAS_EXTENDED,
04015,DAS_EXTENDED,DAS_EXTENDED
04017,DAS_REMOTE,
04020,,DAS_EXTENDED
04021,DAS,DAS
04022,DAS_EXTENDED,
04024,DAS_EXTENDED,
04027,DAS_EXTENDED,DAS_EXTENDED
04029,,DAS_EXTENDED
04030,,DAS
04032,DAS_EXTENDED,DAS_EXTENDED
04037,DAS_EXTENDED,
04038,DAS,DAS
04039,DAS,DAS
04040,DAS_EXTENDED,DAS_EXTENDED
04041,DAS_EXTENDED,
04042,DAS,DAS
04046,DAS,DAS
04047,DAS_EXTENDED,DAS_EXTENDED
04048,DAS_EXTENDED,DAS_EXTENDED
04049,DAS_EXTENDED,DAS_EXTENDED
04050,,DAS_EXTENDED
04055,DAS_EXTENDED,DAS_EXTENDED
04061,DAS,DAS
04062,DAS,DAS
04063,DAS_EXTENDED,
04068,DAS_EXTENDED,DAS_EXTENDED
04069,DAS_EXTENDED,
04071,DAS_EXTENDED,DAS_EXTENDED
04073,DAS,DAS
04076,DAS_EXTENDED,
04079,DAS_EXTENDED,DAS
04083,DAS,DAS
04084,DAS,DAS
04085,DAS,
04086,DAS,DAS
04087,DAS,DAS
04090,DAS,DAS
04093,DAS,DAS
04095,DAS_EXTENDED,
04096,DAS,DAS
04097,DAS,DAS
04217,DAS_EXTENDED,DAS_EXTENDED
04220,DAS_EXTENDED,
04222,DAS,
04236,DAS,DAS
04237,,DAS_EXTENDED
04238,,DAS
04239,DAS,DAS
04250,DAS,DAS
04252,DAS,DAS
04254,,DAS
04256,DAS,DAS
04258,DAS_EXTENDED,DAS_EXTENDED
04259,DAS,DAS
04260,DAS,DAS
04263,DAS,DAS
04265,DAS,DAS
04268,DAS,DAS
04270,DAS,
04274,DAS,DAS
04276,DAS_EXTENDED,DAS_EXTENDED
04280,DAS,DAS
04281,DAS,DAS
04282,DAS,DAS
04287,,DAS_EXTENDED
04289,DAS_EXTENDED,
04290,DAS_EXTENDED,DAS_EXTENDED
04294,DAS_EXTENDED,
04342,DAS_EXTENDED,DAS_EXTENDED
04345,DAS,DAS
04348,DAS_EXTENDED,
04349,,DAS_EXTENDED
04350,DAS,DAS
04351,DAS,DAS
04352,DAS_REMOTE,
04354,DAS_REMOTE,DAS_EXTENDED
04355,,DAS
04357,DAS,DAS
04358,DAS_REMOTE,DAS_EXTENDED
04363,DAS_EXTENDED,DAS_EXTENDED
04364,DAS_EXTENDED,DAS_EXTENDED
04401,DAS,DAS
04411,DAS_EXTENDED,DAS_EXTENDED
04412,DAS,
04416,DAS_EXTENDED,DAS_EXTENDED
04417,,DAS_EXTENDED
04418,DAS_EXTENDED,
04419,DAS,
04422,DAS_EXTENDED,
04424,DAS_EXTENDED,
04426,DAS_EXTENDED,DAS_EXTENDED
04427,DAS_EXTENDED,DAS_EXTENDED
04428,DAS_EXTENDED,DAS_EXTENDED
04429,DAS_EXTENDED,DAS
04430,,DAS_EXTENDED
04434,DAS_EXTENDED,
04435,DAS_EXTENDED,DAS_EXTENDED
04441,DAS_EXTENDED,DAS_EXTENDED
04443,DAS_EXTENDED,DAS_EXTENDED
04444,DAS,DAS
04448,,DAS_EXTENDED
04449,DAS_EXTENDED,DAS_EXTENDED
04450,DAS_EXTENDED,
04451,DAS_EXTENDED,
04453,,DAS_EXTENDED
04456,DAS,DAS
04457,,DAS_EXTENDED
04460,DAS_EXTENDED,DAS_EXTENDED
04461,,DAS_EXTENDED
04462,DAS_EXTENDED,DAS_EXTENDED
04463,DAS_EXTENDED,DAS_EXTENDED
04468,DAS,DAS
04472,DAS_EXTENDED,DAS_EXTENDED
04473,DAS,DAS
04474,DAS,DAS
04475,DAS_EXTENDED,
04476,,DAS_EXTENDED
04478,DAS_EXTENDED,
04479,,DAS_EXTENDED
04481,DAS_EXTENDED,
04487,DAS_REMOTE,DAS_EXTENDED
04493,DAS_EXTENDED,DAS_EXTENDED
04496,DAS,DAS
04497,,DAS_EXTENDED
04530,DAS,DAS
04535,DAS_EXTENDED,DAS_EXTENDED
04537,DAS,DAS
04538,DAS,
04539,DAS_EXTENDED,
04543,,DAS
04547,,DAS_EXTENDED
04553,DAS,DAS
04554,,DAS_EXTENDED
04555,DAS_EXTENDED,DAS_EXTENDED
04558,DAS_EXTENDED,
04563,DAS_EXTENDED,
04571,DAS_EXTENDED,
04572,DAS_EXTENDED,DAS_EXTENDED
04573,DAS,
04574,DAS_REMOTE,
04576,DAS_EXTENDED,
04578,DAS_EXTENDED,DAS_EXTENDED
04579,DAS,DAS
04605,DAS,DAS
04606,DAS_REMOTE,
04607,DAS_EXTENDED,
04609,DAS,DAS
04614,DAS_EXTENDED,
04616,DAS_EXTENDED,DAS_EXTENDED
04617,,DAS_EXTENDED
04619,DAS_EXTENDED,
04622,DAS_EXTENDED,DAS_EXTENDED
04627,,DAS_EXTENDED
04628,DAS_EXTENDED,DAS_EXTENDED
04630,DAS_REMOTE,
04631,DAS_EXTENDED,DAS_EXTENDED
04634,DAS_EXTENDED,DAS_EXTENDED
04640,DAS_EXTENDED,DAS_EXTENDED
04643,,DAS_EXTENDED
04648,DAS_EXTENDED,
04649,DAS_EXTENDED,DAS_EXTENDED
04650,,DAS_EXTENDED
04652,DAS_EXTENDED,DAS_EXTENDED
04654,DAS_EXTENDED,DAS_EXTENDED
04655,DAS_EXTENDED,
04657,,DAS_EXTENDED
