metric,value
total_shipments,558013.0
current_mix_total,5833893.772825568
maersk_total,6041478.28
cost_difference,207584.50717443228
cost_diff_percent,3.55824969150735
avg_per_shipment_current,10.454763191584368
avg_per_shipment_maersk,10.826769770596743
surcharge_nsl1_total,417884.0
surcharge_nsl2_total,515840.0
surcharge_nsd_total,1091988.0
surcharge_pickup_total,145437.4
base_rate_total,3870328.8800000004
