maersk_shipping_zone,shipment_count,current_total,maersk_total,current_avg,maersk_avg,maersk_base_avg,maersk_pickup_avg,diff,diff_pct
1,3956,36786.39537505345,33515.25000000005,9.298886596322914,8.472004550050569,4.812287664307384,0.2416177957532858,-3271.1453750533983,-8.892269388459063
2,20412,185124.0500312492,164189.28000000108,9.069373409330257,8.043762492651434,4.795175387027284,0.22330785812267448,-20934.770031248132,-11.308509093072624
3,56270,542014.4429899072,488692.46999999724,9.632387470942016,8.684778212191171,5.279560511818036,0.23358094899591242,-53321.97298990999,-9.837740244664088
4,188429,1911140.0215064927,1782144.9000001452,10.142494103914434,9.457911998684624,5.824493575829798,0.2432714709518857,-128995.12150634755,-6.749642624545357
5,128384,1425344.004787067,1360965.2000000672,11.102193457027877,10.600738409771212,6.677840229312546,0.2612425224326753,-64378.80478699971,-4.51672049489676
6,36722,447312.63404525537,435373.6600000006,12.181053157378557,11.855935406568287,7.623721474865233,0.2795425085779652,-11938.974045254756,-2.66904467626704
7,34230,457734.7755986441,458083.62000000715,13.372327654064975,13.382518843120279,8.881429739994134,0.2961226993865038,348.84440136305057,0.07621103310466584
8,69879,931739.5222584403,902775.1900000205,13.333612705654636,12.919120050373081,9.013353224860309,0.26364258217775605,-28964.332258419716,-3.108629779727833
9,1635,59661.43000000002,60673.48000000005,36.490171253822645,37.10916207951073,30.346299694189604,0.42891743119266035,1012.0500000000247,1.6963220626793964
