weight_bracket,shipment_count,current_total,maersk_total,current_avg,maersk_avg,maersk_base_avg,maersk_surcharge_avg,diff,diff_pct
1,142303,959793.7714069277,656566.4400002813,6.744719165491436,4.613862251676221,4.147737152411841,0.4661250992606964,-303227.3314066464,-31.59296720191841
2,109943,947189.8699859867,590118.1199996995,8.615281281991457,5.367491518329493,5.163454881162502,0.20403663716685141,-357071.7499862872,-37.6980119088024
3,93314,920063.22113514,696319.6099998729,9.859862626563432,7.462112973400271,5.552247787040294,1.909865186357633,-223743.6111352672,-24.318286612872164
4,42378,506410.37403297634,374632.3399999738,11.94984128635085,8.840255321156585,6.324603803861837,2.515651517298752,-131778.03403300256,-26.021985486502192
5,40112,494163.85667963116,489758.18000015366,12.319601532699222,12.209767151978303,7.385591842841634,4.824175309136861,-4405.676679477503,-0.8915416657705351
6,27885,416830.1832968237,434570.189999983,14.948186598415768,15.584371167293634,7.913774072083154,7.670597095211422,17740.006703159306,4.255931411408058
7,24421,470051.5046397713,552824.5799999669,19.24784016378409,22.63726219237406,9.118587281437923,13.518674910939202,82773.0753601956,17.60936291941658
8,13611,231721.40148249816,258880.24000000287,17.024568472742498,19.019927999412452,9.343619131584784,9.676308867826606,27158.838517504715,11.72047050628425
9,12272,255228.58725964167,305753.1199999955,20.79763585883651,24.914693611472906,10.30717731421109,14.607516297262515,50524.53274035384,19.795796890477515
10,6837,142366.12510016598,175436.95000000097,20.822893827726485,25.659931256399148,10.393995904636503,15.265935351761046,33070.82489983499,23.229419833241238
11,5528,129555.3440001939,157066.48000000056,23.436205499311487,28.41289435600589,11.44483357452959,16.968060781474946,27511.135999806662,21.235045309875822
12,3550,79936.74859202767,100370.19999999937,22.517393969585257,28.27329577464771,11.108191549295759,17.165104225351893,20433.451407971705,25.56202468561449
13,3887,94522.65013958159,120160.90000000031,24.317635744682683,30.913532287110964,12.0475688191407,18.865963467969642,25638.249860418728,27.123921962152696
14,2617,61599.09277022921,93314.95999999932,23.538056083389076,35.65722583110406,15.623645395491051,20.033580435612926,31715.867229770112,51.48755574708458
15,1535,35481.07392400135,59560.939999999726,23.11470613941456,38.80191530944607,19.367856677524458,19.434058631921605,24079.866075998376,67.86679041219614
16,1614,40076.549126749924,80867.1199999998,24.830575667131303,50.10354399008662,28.9649318463445,21.138612143742183,40790.57087324988,101.78164478244302
17,1214,29150.257238499995,59827.10999999982,24.01174401853377,49.280980230642356,27.9462520593081,21.334728171334344,30676.852761499824,105.23698816963984
18,1079,27166.015958999968,53937.279999999926,25.17703054587578,49.98821130676546,27.831214087117747,22.156997219647835,26771.26404099996,98.54689064971551
19,789,19026.098724289095,45135.809999999874,24.11419356690633,57.20634980988577,35.66378960709761,21.54256020278828,26109.71127571078,137.23103014481157
20,668,16370.408513250022,41638.16999999995,24.506599570733567,62.3325898203592,39.967919161676654,22.364670658682524,25267.761486749925,154.35021958247705
21,521,12659.669831675848,31022.97000000004,24.298790463869192,59.545047984644995,36.99994241842609,22.545105566218766,18363.300168324193,145.05354730798152
22,504,12238.789891000035,30609.829999999944,24.28331327579372,60.73378968253957,39.81323412698412,20.92055555555552,18371.040108999907,150.10503712061686
23,419,10682.795063750033,26223.959999999977,25.495930939737548,62.58701670644386,39.53250596658707,23.054510739856838,15541.164936249945,145.47845244158842
24,350,9135.541338500012,21829.769999999957,26.101546681428605,62.3707714285713,39.09100000000001,23.27977142857149,12694.228661499945,138.95431251569644
25,335,7828.475148499994,26037.12,23.368582532835802,77.7227462686567,54.460537313432866,23.262208955223972,18208.644851500005,232.59503934158806
26,348,9863.242261000005,28932.97999999996,28.34265017528737,83.14074712643666,59.25706896551723,23.883678160919658,19069.737738999953,193.3414716416641
27,178,5084.423736124998,13840.759999999991,28.564178292837067,77.75707865168535,54.327191011235975,23.42988764044946,8756.336263874993,172.21885346929162
28,139,3773.2028445000014,11459.279999999993,27.145344205035983,82.44086330935247,58.57553956834535,23.86532374100718,7686.077155499992,203.70166864216114
29,112,2972.712598375,8975.070000000005,26.54207677120536,80.13455357142861,56.2895535714286,23.844999999999995,6002.357401625005,201.91516007656193
30,110,3023.568017375,9144.7,27.486981976136367,83.13363636363637,59.57727272727274,23.55636363636363,6121.131982625,202.44730554926434
31,144,3741.6075359999995,13008.259999999998,25.983385666666663,90.33513888888888,66.42736111111118,23.90777777777777,9266.652463999999,247.66500427531747
32,115,3105.7958907500006,10887.79000000001,27.00692078913044,94.67643478260878,70.52721739130436,24.149217391304322,7781.994109250009,250.56360375860956
33,94,2751.5115745,8581.320000000003,29.271399728723402,91.29063829787238,67.27148936170214,24.01914893617019,5829.808425500003,211.87657284557804
34,93,2924.0316945000013,9178.590000000004,31.441201016129046,98.6945161290323,74.44118279569894,24.25333333333331,6254.5583055000025,213.9018642398645
35,58,1871.1119995,5781.620000000004,32.26055171551724,99.68310344827594,75.37620689655174,24.306896551724126,3910.5080005000045,208.99379628504192
36,61,1750.0313715,5599.580000000002,28.689038877049178,91.79639344262299,67.48622950819671,24.31016393442621,3849.5486285000015,219.97026403020695
37,198,5914.695111875006,19313.609999999986,29.87219753472225,97.54348484848478,73.23702020202012,24.306464646464665,13398.91488812498,226.53601977257992
38,60,1914.5512343750001,6302.780000000006,31.909187239583336,105.04633333333344,80.99833333333332,24.047999999999984,4388.228765625006,229.20403940286985
39,58,1788.4429114999996,5744.84,30.835222612068957,99.04896551724138,74.9310344827586,24.117931034482744,3956.397088500001,221.2202057476746
