weight_bracket,shipment_count,current_total,maersk_total,current_avg,maersk_avg,maersk_base_avg,maersk_surcharge_avg,diff,diff_pct
40,33,947.112979,3364.7200000000003,28.700393303030303,101.96121212121213,77.83636363636363,24.12484848484849,2417.6070210000003,255.26067899023062
41,50,1742.7103562500004,5378.549999999999,34.85420712500001,107.57099999999998,83.18619999999996,24.3848,3635.8396437499987,208.63132136161013
42,25,735.167428875,2417.1199999999994,29.406697155000003,96.68479999999998,72.2528,24.432000000000006,1681.9525711249994,228.78496857495853
43,30,970.0380339999999,3097.4799999999996,32.33460113333333,103.24933333333333,78.98133333333334,24.268000000000008,2127.4419659999994,219.3153145993036
44,17,494.36314424999995,1754.5099999999998,29.08018495588235,103.20647058823528,78.95470588235294,24.25176470588236,1260.1468557499998,254.9030748766219
45,29,915.3286361250003,2666.099999999999,31.56305641810346,91.93448275862066,67.60620689655173,24.328275862068974,1750.7713638749988,191.27243426872397
46,31,987.8795951250002,3118.9799999999996,31.867083713709683,100.61225806451611,76.38,24.232258064516135,2131.100404874999,215.7247113303664
47,74,2943.0680903750012,7189.210000000002,39.77119041047299,97.1514864864865,73.12554054054053,24.02594594594597,4246.141909625001,144.27603369122068
48,17,581.61490525,1585.7299999999998,34.212641485294114,93.27823529411764,68.95823529411763,24.320000000000007,1004.1150947499998,172.64260005826247
49,34,1148.9634474999998,3339.149999999999,33.793042573529405,98.21029411764704,73.81382352941175,24.39647058823531,2190.1865524999994,190.6228224462293
50,12,329.46,1151.86,27.455,95.98833333333333,71.56499999999998,24.423333333333336,822.3999999999999,249.62059127056392
51,10,476.53000000000003,1174.23,47.653000000000006,117.423,93.02300000000001,24.399999999999995,697.7,146.41260781063102
52,11,486.92,1046.03,44.265454545454546,95.09363636363636,70.72636363636366,24.367272727272724,559.1099999999999,114.82584408116321
53,4,168.87,360.52,42.2175,90.13,65.62,24.509999999999998,191.64999999999998,113.48966660744951
54,5,213.74,479.01,42.748000000000005,95.80199999999999,71.20199999999998,24.6,265.27,124.10873023299334
55,6,233.587052125,479.81000000000006,38.93117535416667,79.96833333333335,55.58166666666667,24.386666666666667,246.22294787500005,105.4095017831888
56,2,229.51999999999998,270.89,114.75999999999999,135.445,111.205,24.240000000000002,41.370000000000005,18.024573021958872
57,2,87.46468837500001,202.78,43.732344187500004,101.39,76.78999999999999,24.6,115.31531162499999,131.84213397135994
58,19,856.3168317500001,1976.7899999999995,45.06930693421053,104.0415789473684,79.66684210526316,24.37473684210526,1120.4731682499994,130.84796733005467
59,1,43.6,103.31,43.6,103.31,78.71,24.6,59.71,136.94954128440367
61,7,366.75,976.8299999999999,52.392857142857146,139.54714285714286,114.97000000000001,24.577142857142857,610.0799999999999,166.34764826175868
62,4,211.727339625,553.45,52.93183490625,138.3625,113.79249999999999,24.57,341.72266037500003,161.3975129429391
63,1,41.68,81.35,41.68,81.35,56.75,24.6,39.669999999999995,95.17754318618042
64,2,97.85,240.17,48.925,120.085,95.485,24.6,142.32,145.44711292795094
65,2,82.5,162.7,41.25,81.35,56.75,24.6,80.19999999999999,97.21212121212119
66,4,171.92000000000002,371.65999999999997,42.980000000000004,92.91499999999999,68.275,24.64,199.73999999999995,116.18194509073984
67,2,91.79,209.5,45.895,104.75,80.07,24.68,117.71,128.23837019283144
68,1,47.44,105.45,47.44,105.45,80.73,24.72,58.010000000000005,122.28077571669478
69,2,102.41999999999999,250.45,51.209999999999994,125.225,100.465,24.76,148.03,144.53231790665888
70,3,131.44,273.69,43.81333333333333,91.23,66.43,24.8,142.25,108.22428484479612
